,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
2868,0,50000.0,4.0,0,2,0,4,1,1,1.0,1,1,6,0,0.0,100000.0,796.946287,2,4.0,1,0,1.0,1.0,0,2,1,8,1,6,0,0,3,5.0,54.33333333,0,1,6.0,2,0.0,2.0,5.0,0,6.0,0,6,0
2869,0,2500.0,2.0,1,1,0,1,1,1,2.0,0,1,3,0,0.0,10000.0,128.892185175,4,6.0,0,0,7.0,0.0,0,0,1,3,1,7,0,1,2,6.0,34.75,0,0,5.0,0,4.0,2.0,6.0,1,6.0,0,7,1
2876,0,20000.0,4.0,0,3,0,4,1,0,3.0,1,1,1,0,0.0,100000.0,225.44247639999998,5,6.0,0,0,8.0,0.0,0,0,1,7,1,7,0,0,0,6.0,36.4,0,0,6.0,0,5.0,0.0,6.0,0,6.0,1,7,1
2879,0,50000.0,3.0,0,0,0,4,0,0,1.0,0,0,3,0,0.0,100000.0,81.7859377,2,6.0,1,0,2.0,0.0,0,1,1,10,1,7,0,0,1,5.0,47.5,0,0,4.0,0,1.0,3.0,5.0,0,5.0,0,7,0
2880,0,35000.0,3.0,0,1,0,4,1,0,1.0,0,1,4,0,0.0,70000.0,265.7468834,2,6.0,1,0,1.0,2.0,0,2,1,6,1,5,0,0,2,4.0,61.0,1,0,5.0,0,2.0,0.0,4.0,0,6.0,0,5,0
2882,0,66666.66667,2.0,0,1,0,5,1,0,2.0,0,1,4,0,0.0,200000.0,260.1582009,3,6.0,0,0,4.0,0.0,0,0,1,9,1,7,0,0,1,5.0,24.33333333,0,0,5.0,2,2.0,0.0,5.0,0,5.0,0,7,0
2885,0,36000.0,5.0,0,0,0,4,1,0,1.0,0,1,3,0,0.0,72000.0,201.6805181,2,6.0,1,0,1.0,0.0,0,2,1,6,1,7,0,0,2,6.0,73.5,1,1,5.0,0,1.0,3.0,6.0,0,6.0,0,7,0
2887,0,13333.33333,2.0,1,1,0,3,1,1,4.0,0,1,1,1,0.0,40000.0,127.16227013333334,3,6.0,0,0,8.0,0.0,0,0,1,2,1,7,0,1,0,6.0,24.33333333,0,1,6.0,2,5.0,0.0,6.0,0,6.0,0,7,0
2892,0,35000.0,2.0,0,1,0,4,0,0,2.0,0,1,4,0,0.0,70000.0,263.67466345,2,6.0,1,0,0.0,0.0,0,2,1,6,2,7,0,0,0,6.0,60.0,1,0,0.0,0,0.0,1.0,6.0,0,6.0,0,7,0
2895,0,35000.0,3.0,0,0,0,4,1,0,1.0,0,1,3,0,0.0,70000.0,413.33041815,2,6.0,1,0,4.0,1.0,0,2,1,6,1,7,0,0,2,6.0,79.5,1,0,2.0,0,3.0,0.0,6.0,0,6.0,0,7,0
2901,0,15000.0,3.0,1,1,0,4,2,1,0.0,1,1,5,1,0.0,60000.0,272.4502205,4,6.0,0,0,2.0,0.0,0,0,1,2,2,7,0,2,5,6.0,14.5,0,1,5.0,2,1.0,3.0,4.0,0,6.0,0,7,1
2906,0,10285.71429,5.0,1,1,0,4,1,0,4.0,0,1,3,0,0.0,72000.0,150.00813228571428,7,6.0,1,0,8.0,0.0,0,2,1,7,2,7,0,3,2,6.0,29.42857143,0,1,5.0,0,8.0,0.0,6.0,0,6.0,1,7,1
2907,0,15000.0,4.0,1,0,0,4,1,0,1.0,0,1,1,1,0.0,60000.0,197.214617725,4,6.0,1,0,7.0,0.0,0,1,1,2,1,7,0,1,1,6.0,36.25,0,0,6.0,2,7.0,0.0,6.0,0,6.0,0,7,1
2908,0,16666.66667,1.0,0,1,0,3,1,0,2.0,0,1,3,0,0.0,50000.0,155.4835511,3,6.0,1,0,5.0,0.0,0,2,1,8,2,7,0,0,3,6.0,49.66666667,0,1,4.0,0,2.0,0.0,6.0,0,6.0,0,7,0
2910,0,36000.0,2.0,0,0,0,4,1,0,1.0,0,1,1,0,0.0,72000.0,233.84312375,2,6.0,0,0,8.0,0.0,1,0,1,1,1,7,0,0,1,6.0,24.5,0,0,5.0,2,8.0,0.0,6.0,0,6.0,0,7,0
2915,0,12000.0,1.0,0,1,0,4,1,0,1.0,0,1,4,0,0.0,60000.0,156.4253568,5,6.0,1,0,8.0,0.0,0,2,1,7,2,7,0,0,2,6.0,49.0,0,1,4.0,1,6.0,0.0,6.0,0,6.0,1,7,1
2918,1,30000.0,3.0,0,0,1,3,1,0,1.0,0,1,3,0,0.0,30000.0,881.4415454,1,6.0,1,0,0.0,0.0,0,1,1,5,1,7,0,0,0,1.0,58.0,0,1,1.0,0,0.0,1.0,1.0,0,6.0,0,7,0
2919,0,24000.0,2.0,0,0,0,2,1,0,2.0,0,1,1,0,0.0,24000.0,945.4681624,1,6.0,1,0,6.0,0.0,0,1,1,8,1,7,0,0,1,6.0,49.5,0,0,4.0,0,5.0,2.0,6.0,0,6.0,0,7,0
2922,0,26666.66667,0.0,0,1,0,4,1,0,1.0,0,1,6,0,0.0,80000.0,175.3749477,3,6.0,0,0,8.0,0.0,1,0,1,1,1,7,0,0,3,6.0,35.5,0,1,5.0,2,7.0,0.0,6.0,0,6.0,0,7,0
2925,0,50000.0,2.0,1,2,0,4,1,0,2.0,0,1,5,0,0.0,100000.0,396.7479542,2,6.0,0,0,5.0,0.0,0,0,1,3,1,7,0,1,3,5.0,21.0,0,1,5.0,2,2.0,0.0,5.0,1,5.0,0,7,0
