,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
3561,0,40000.0,3.0,0,2,0,5,2,0,1.0,0,1,2,0,1.0,200000.0,248.79229420000001,5,6.0,1,0,7.0,0.0,0,2,0,8,3,7,0,0,0,6.0,50.25,0,1,7.0,1,5.0,0.0,6.0,0,6.0,0,7,0
3562,0,15000.0,2.0,1,0,0,2,1,0,4.0,0,1,6,0,1.0,15000.0,590.7908557,1,3.0,1,0,8.0,0.0,0,2,0,7,1,7,0,2,0,6.0,35.85714286,0,0,4.0,0,8.0,2.0,6.0,0,6.0,1,7,1
3563,0,5000.0,1.0,0,0,0,1,0,0,3.0,0,0,3,0,1.0,10000.0,12.887298665,2,6.0,0,0,6.0,0.0,1,0,0,1,1,7,0,0,0,6.0,52.0,0,1,5.0,1,5.0,1.0,6.0,0,6.0,0,7,1
3565,0,13333.33333,2.0,0,0,0,3,1,0,1.0,0,1,2,0,1.0,40000.0,155.56130026666668,3,6.0,0,0,8.0,0.0,0,0,0,9,1,7,0,0,0,6.0,39.66666667,0,0,7.0,1,7.0,3.0,6.0,0,6.0,0,7,1
3570,0,10000.0,2.0,0,0,0,2,0,0,1.0,0,0,2,0,1.0,20000.0,144.3288665,2,6.0,1,0,6.0,0.0,0,2,0,7,1,7,0,0,0,6.0,49.8,0,1,5.0,1,5.0,1.0,6.0,0,6.0,1,7,1
3573,0,3333.333333,4.0,1,1,0,1,0,0,1.0,0,1,1,1,1.0,10000.0,27.410751043333335,3,6.0,0,0,8.0,0.0,0,0,0,2,1,7,0,1,0,6.0,27.33333333,0,0,7.0,2,6.0,0.0,6.0,0,6.0,0,7,1
3574,0,3333.333333,2.0,1,0,0,1,0,0,2.0,0,1,3,1,1.0,10000.0,27.027758333333335,3,6.0,0,0,8.0,0.0,0,0,0,2,1,7,0,1,0,6.0,33.66666667,0,0,5.0,1,6.0,1.0,6.0,0,6.0,0,7,1
3575,0,7142.857143,3.0,1,0,0,3,0,1,4.0,0,1,3,0,1.0,50000.0,57.645744,7,6.0,1,0,8.0,0.0,0,2,0,7,1,7,0,2,0,6.0,37.57142857,0,1,7.0,1,7.0,1.0,6.0,0,6.0,1,7,1
3576,0,250.0,0.0,1,0,0,0,0,0,4.0,0,0,2,1,1.0,1000.0,76.2564075,4,6.0,0,0,8.0,0.0,0,0,0,2,1,7,0,2,0,6.0,22.0,0,0,5.0,1,7.0,1.0,6.0,0,6.0,0,7,1
3577,0,166.6666667,5.0,0,0,0,0,0,0,4.0,0,1,4,0,1.0,1000.0,151.17828988333335,6,6.0,1,0,8.0,0.0,0,1,0,6,1,7,0,0,0,6.0,57.0,1,0,7.0,2,8.0,3.0,6.0,0,6.0,0,7,1
3578,0,2500.0,2.0,0,0,0,1,0,0,4.0,0,0,1,0,1.0,10000.0,72.062445,4,6.0,0,0,8.0,0.0,0,0,0,9,1,7,0,0,0,6.0,39.0,0,1,4.0,1,8.0,1.0,6.0,0,6.0,0,7,1
3580,0,5000.0,2.0,1,0,0,2,0,0,3.0,0,0,3,0,1.0,20000.0,135.07719225,4,5.0,1,0,7.0,0.0,0,2,0,4,1,7,1,1,0,6.0,38.66666667,0,1,7.0,1,6.0,3.0,6.0,0,5.0,0,7,1
3581,0,5000.0,0.0,0,0,0,1,0,0,3.0,0,0,1,0,1.0,10000.0,127.3674675,2,6.0,1,0,7.0,0.0,0,2,0,6,1,7,0,0,0,6.0,62.0,1,0,2.0,1,7.0,1.0,6.0,0,6.0,0,7,1
3583,0,3000.0,2.0,0,0,0,1,0,0,1.0,0,0,2,0,1.0,9000.0,56.143178,3,6.0,0,0,6.0,0.0,0,0,0,9,1,7,0,0,0,6.0,43.0,0,1,5.0,2,7.0,0.0,6.0,0,6.0,0,7,1
