,Unnamed: 0,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,log_en_total,log_en_total_percap,log_expenditure,log_raw_income,log_income_percap,province_id,prefecture_id,cluster
2110,2110,10042,山东省,日照市,岚山区,-1,48,3,0,4,1,0,0,4,3,1,3,40000,3,25000,7,13333.33333,2,0.0,1.55,22.5,1,1.0,22.5,2.0,1,2.5,2666.667,480.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,1.9203125,0.0,220.4147173,0.0,0.0,2.982373333,7.605052,40.26204,0.0,163.8304961,435.0946787,437.0149912,Rizhao,145.0315596,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,2,6.077859372756389,4.983822759764349,10.12667110305036,10.596659732783579,9.498097441365623,14,42,3
2111,2111,10043,山东省,烟台市,莱州市,-1,62,3,0,4,2,0,0,2,4,1,1,3000,2,6000,7,1500.0,2,0.0,2.0,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,273.4798885,0.0,0.0,0.0,6.71034,20.13102,0.0,0.0,300.3212485,300.3212485,Yantai,150.1606243,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,2,5.70817696638446,5.018343008202848,8.699681400989514,8.006700845440367,7.313886831633462,14,43,3
2112,2112,10049,山东省,日照市,岚山区,1,77,4,1,4,1,0,2,4,4,0,4,100000,6,50000,7,16666.66667,1,0.0,3.0,52.5,1,3.0,37.5,0.0,1,0.0,0.0,0.0,0.0,0,5.5,120,2750,1,2.75,9.0,7.5,7000,1,2.75,0,9.0,0,0,0,0,1,0,0,0,0,0,0.0,16.104816,234.603915,12.76378792,3579.008746,6.262984,69.787536,304.20208,3642.4575,239.608238,8104.799603,4462.342103,Rizhao,1350.799934,0,7,0,0,0,0,0,0,0,0,1,2,2,1,1,2,9.000335084824924,7.209192267719169,10.819798284210286,11.51293546492023,9.721225994142234,14,42,0
2113,2113,10053,山东省,济宁市,汶上县,1,47,3,0,4,1,2,2,3,4,2,2,14000,3,69100,7,4666.666667,2,1250.0,2.0,52.5,1,0.1,90.0,4.0,1,2.5,2666.667,480.0,3.0,3,0.0,0,0,1,2.25,6.0,6.5,3000,1,0.75,1,6.0,0,0,0,0,0,0,0,0,0,0,3.9174375,121.680832,195.71825,19.14568188,0.0,0.0,8.8576488,0.0,662.265,183.6341824,1191.301595,532.9540326,Jining,397.1005317,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.083640831561757,5.98670456551572,11.143324481431074,9.546884034617925,8.448414582759082,14,41,0
2114,2114,10055,山东省,泰安市,泰山区,-1,48,3,0,4,2,0,0,4,5,1,4,80000,4,75000,7,20000.0,2,1250.0,2.5,26.25,1,3.0,22.5,1.0,1,2.5,3366.667,210.0,2.0,2,0.0,0,0,1,2.25,11.0,6.5,8000,1,1.25,1,11.0,0,0,0,0,0,0,1,0,0,0,0.0,38.02526,390.6627725,15.9547349,0.0,7.455933333,48.314448,60.39306,2023.5875,299.5102976,2883.904006,860.3165063,Taian,720.9760016,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7.96724690490509,6.581991899420734,11.225256725762893,11.289794413577894,9.90353755128617,14,44,0
2115,2115,10060,山东省,泰安市,泰山区,1,52,3,0,4,1,0,3,4,4,1,3,50000,5,17800,7,10000.0,2,1500.0,2.5,37.5,1,0.857,37.5,0.0,1,1.0,2666.667,90.0,0.0,2,0.0,0,0,1,1.25,7.0,6.5,1000,1,0.5,1,9.0,0,0,0,0,0,0,0,0,0,1,0.089614583,22.815156,237.535025,9.185478658,0.0,0.372796667,4.026204,139.79875,662.265,133.8794663,1209.877877,547.7024912,Taian,241.9755753,0,7,0,0,0,0,0,0,0,0,1,1,0,0,1,2,7.099100893711518,5.492960925531601,9.787009914477434,10.819798284210286,9.210440366976517,14,44,0
2116,2116,10062,山东省,济宁市,市中区,-1,19,2,1,5,3,0,3,3,4,0,3,30000,3,14000,7,10000.0,4,275.0,0.783,15.0,1,0.429,37.5,3.0,1,2.5,3400.0,210.0,2.0,0,2.5,80,20000,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,66.432366,92.86364967,7.977367449,756.7346939,1.789424,13.42068,44.7356,0.0,139.79875,1123.752531,1123.752531,Jining,374.584177,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.0253183179965895,5.928482619183684,9.546884034617925,10.308985993422082,9.210440366976517,14,41,3
2117,2117,10064,山东省,日照市,岚山区,-1,51,3,0,4,1,5,2,5,5,2,2,20000,5,30000,7,4000.0,5,1050.0,2.025,50.625,0,0.0,0.0,0.0,0,3.5,3333.333,150.0,1.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,1,0,0,1,0,0,0,0,0,0.799810156,37.577904,426.8107935,12.76378792,0.0,15.65746,4.920916,0.0,0.0,0.0,497.7308614,498.5306716,Rizhao,99.54617228,0,7,0,0,0,0,0,0,0,0,1,1,0,0,1,2,6.212066594334973,4.610617047667111,10.308985993422082,9.90353755128617,8.294299608857235,14,42,3
2118,2118,10073,山东省,济宁市,汶上县,1,32,2,0,4,1,2,0,3,3,1,3,30000,4,16700,7,7500.0,1,0.0,3.0,37.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,362.7030225,0.0,0.0,0.0,11.1839,0.0,0.0,0.0,373.8869225,373.8869225,Jining,93.47173063,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5.926624440498084,4.548300642920963,9.723223876851618,10.308985993422082,8.922791623969637,14,41,3
2119,2119,10076,山东省,济宁市,汶上县,1,60,2,0,5,2,0,5,3,4,2,2,25000,1,30000,7,257.7319588,1,1500.0,2.0,37.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,83.87925,0.0,0.0,0.0,63.971908,33.5517,0.0,0.0,181.402858,181.402858,Jining,181.402858,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5.206217746377125,5.206217746377125,10.308985993422082,10.12667110305036,5.555792617704272,14,41,3
