,Unnamed: 0.1,index,Unnamed: 0,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,perCapitaHouseholdEmission,perCapitaCookingEmission,perCapitaRefrigerationEmission,perCapitaLaundryEmission,perCapitaTVEmission,perCapitaPCEmission,perCapitaLighteningEmission,perCapitaHeatingEmission,perCapitaWaterheaterEmission,perCapitaACEmission,perCapitaVehicleEmission,TotalEmission,CookingEmission,RefrigerationEmission,LaundryEmission,TVEmission,PCEmission,LighteningEmission,HeatingEmission,WaterheaterEmission,ACEmission,VehicleEmission,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
2738,2738,2738,2739,12742,30.85714286,0,7,36000,10000,1,3,3,0,0,1,0,2.5,999999,999999,999999,0,0,0,7,0,0,6,5,6,6,3,5,7,1,999999,999999,0,999999,1,999999,999999,999999,999999,999999,999999,80.67702031,79.9422936,,,0.4791696,,0.25555712,,,,,564.7391422,559.5960552,,,3.3541872,,1.78889984,,,,,7,0,0,0,0,0,0,0,0,1,3,2,1,1
2739,2739,2739,2740,12745,62,1,1,10000,30000,0,3,2,1,0,1,1,999999,999999,5.5,999999,1,1,0,1,1,0,1,5,5,5,3,5,7,1,4,1,2,1,999999,999999,2,999999,999999,1,1,78.49473832,27.95156,13.50410005,0.008625053,13.4167488,11.180624,2.862239744,,2.15631,7.414530667,,78.49473832,27.95156,13.50410005,0.008625053,13.4167488,11.180624,2.862239744,,2.15631,7.414530667,,5,1,1,0,0,0,0,0,0,0,0,1,1,0
2740,2740,2740,2741,12748,41.5,0,4,10000,16400,1,3,3,1,0,1,1,999999,999999,999999,999999,1,1,0,6,0,0,6,6,6,6,5,6,7,2,4,2,3,3,999999,999999,999999,3,999999,2,2,229.2582033,157.8305092,8.86375399,0.030746716,0.281751725,0.100625616,,,20.1201,42.030716,,917.032813,631.3220368,35.45501596,0.122986864,1.127006899,0.402502464,,,80.4804,168.122864,,8,0,0,0,0,0,0,0,0,0,0,2,1,0
2741,2741,2741,2742,12750,27.25,0,4,15000,14000,1,3,2,1,0,1,0,2.5,999999,5.5,999999,0,0,0,6,2,0,6,6,6,6,8,8,7,1,4,2,4,999999,4,999999,2,999999,999999,999999,999999,115.9988678,104.0091052,7.748005808,1.290072,,,2.951684735,,,,,463.995471,416.0364208,30.99202323,5.160288,,,11.80673894,,,,,2,0,0,0,0,0,0,1,0,0,2,0,0,1
2742,2742,2742,2743,12752,31.66666667,0,3,65000,50000,1,3,2,1,0,1,0,999999,999999,8.5,2,1,0,1,6,0,0,6,6,6,6,7,8,7,2,2,2,3,999999,999999,999999,4,999999,1,2,999999,221.4740075,143.523744,11.93312392,0.9583392,13.4167488,,4.174099627,20.641152,26.8268,,,664.4220226,430.571232,35.79937177,2.8750176,40.2502464,,12.52229888,61.923456,80.4804,,,2,0,0,0,0,0,0,1,0,0,1,0,0,1
2743,2743,2743,2744,12760,47,0,2,60000,12300,0,3,2,1,0,1,1,5.5,999999,2.5,999999,1,0,0,5,0,0,6,6,6,6,6,7,7,3,4,3,2,1,3,999999,1,999999,999999,2,999999,953.3976625,474.3300744,5.40164002,0.9951984,13.4167488,5.590312,10.91228903,,442.7514,,,1906.795325,948.6601488,10.80328004,1.9903968,26.8334976,11.180624,21.82457805,,885.5028,,,10,0,0,0,0,0,0,0,0,0,0,1,1,0
2744,2744,2744,2745,12771,33.25,0,4,5000,10000,1,3,2,1,0,1,0,8.5,999999,8.5,1,1,0,0,7,0,0,6,6,6,6,6,8,7,1,4,2,3,999999,3,999999,2,999999,5,3,999999,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,2,1,1,1
2745,2745,2745,2746,12785,61,1,2,200000,120000,0,3,3,1,0,2,2,25,999999,12.5,999999,2,1,1,5,2,1,5,6,6,6,8,8,7,3,4,3,3,5,4,999999,4,999999,999999,2,4,4517.049158,94.3165496,14.26400548,0.46120074,0.368960592,16.99454848,98.3894912,,2289.22785,112.061432,1890.96512,9034.098316,188.6330992,28.52801096,0.92240148,0.737921184,33.98909696,196.7789824,,4578.4557,224.122864,3781.93024,6,0,0,0,1,0,0,0,0,0,0,2,1,0
2746,2746,2746,2747,12792,29,1,5,30000,9999998,1,3,3,0,0,1,0,999999,5.5,999999,999999,0,0,0,4,1,0,2,6,6,6,8,8,7,2,4,999999,5,999999,999999,3,999999,999999,999999,999999,999999,105.3287771,77.40796336,2.160656008,,21.46679808,,4.293359616,,,,,526.6438853,387.0398168,10.80328004,,107.3339904,,21.46679808,,,,,7,0,0,0,0,0,0,0,0,1,2,1,1,1
2747,2747,2747,2748,12798,36,0,4,60000,5600,1,3,2,0,0,1,0,999999,999999,8.5,1,0,0,0,5,0,0,3,6,6,1,8,8,7,3,4,999999,5,999999,999999,999999,2,999999,3,999999,999999,298.1443848,276.723356,6.752050028,,13.4167488,,1.252229888,,,,,1192.577539,1106.893424,27.00820011,,53.6669952,,5.008919552,,,,,8,0,0,0,0,0,0,0,0,0,1,1,1,1
2748,2748,2748,2749,12799,28.5,0,2,100000,9999996,0,3,2,1,0,1,2,25,999999,12.5,999999,1,4,1,6,2,1,6,6,6,6,999999,999999,5,4,4,3,5,0,4,999999,4,999999,999999,2,3,578.7255865,437.36784,5.40164002,0.079062984,,2.1163324,70.278208,,53.90775,9.574753125,,1157.451173,874.73568,10.80328004,0.158125968,,4.2326648,140.556416,,107.8155,19.14950625,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2749,2749,2749,2750,12802,21,1,3,50000,22500,1,3,3,1,0,1,0,999999,999999,5.5,999999,1,0,0,6,0,0,6,6,6,6,8,8,7,1,4,1,1,999999,999999,999999,2,999999,999999,1,999999,90.66956663,72.50724693,9.00273337,1.6770936,2.2361248,,0.954079915,,4.292288,,,272.0086999,217.5217408,27.00820011,5.0312808,6.7083744,,2.862239744,,12.876864,,,2,0,0,0,0,0,0,1,0,0,1,0,0,1
