id,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes
16442,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16446,7,0,0,0,0,0,0,0,0,1,2,1,1,1,7
16448,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16450,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16452,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16453,2,0,0,0,0,0,0,1,0,0,1,1,1,1,7
16455,8,0,0,0,0,0,0,0,0,0,1,1,1,1,7
16459,7,0,0,0,0,0,0,0,0,1,0,1,1,0,7
16461,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16464,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16470,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16472,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16477,7,0,0,0,0,0,0,0,0,1,0,1,1,0,7
16483,7,0,0,0,0,0,0,0,0,1,1,3,1,1,7
16486,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16488,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16497,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16498,7,0,0,0,0,0,0,0,0,1,0,2,1,0,7
16499,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16501,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16516,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16517,3,0,0,0,0,0,1,0,0,0,1,0,0,1,7
16519,7,0,0,0,0,0,0,0,0,1,2,0,0,1,7
16520,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16524,7,0,0,0,0,0,0,0,0,1,3,0,0,1,7
16525,7,0,0,0,0,0,0,0,0,1,1,0,0,1,7
16528,7,0,0,0,0,0,0,0,0,1,0,0,0,0,7
16530,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16531,7,0,0,0,0,0,0,0,0,1,3,1,1,1,7
16542,7,0,0,0,0,0,0,0,0,1,0,1,1,0,7
16547,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16555,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16562,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16568,7,0,0,0,0,0,0,0,0,1,0,1,1,0,7
16569,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16570,7,0,0,0,0,0,0,0,0,1,2,0,0,1,7
16591,3,0,0,0,0,0,1,0,0,0,1,0,0,1,7
16593,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16595,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16597,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16604,3,0,0,0,0,0,1,0,0,0,1,0,0,1,7
16606,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16611,2,0,0,0,0,0,0,1,0,0,1,1,1,1,7
16614,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16616,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16620,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7
16631,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16638,7,0,0,0,0,0,0,0,0,1,0,0,0,0,7
16640,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16641,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16647,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16654,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16659,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16663,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16669,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16673,10,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16674,7,0,0,0,0,0,0,0,0,1,3,2,1,1,7
16687,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16690,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16693,7,0,0,0,0,0,0,0,0,1,2,1,1,1,7
16695,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16696,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16698,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16705,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16708,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16710,7,0,0,0,0,0,0,0,0,1,2,0,0,1,7
