,id,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating
105,688,17.599664060000002,3.578848,619.164,41.48231074,1394.081633,4.47356,12.078612,20.13102,0.0,55.9195
106,692,19.443164064,5.368272,87.55474,19.97293356,1756.96793,,5.815628,120.78612,0.0,218.4406615
107,696,0.0,43.713072,338.711685,12.76378792,832.4081633,13.42068,20.706192,81.4827,0.0,213.4215454
108,698,10.081640626,5.368272,140.76153,0.0,33.183,55.9195,22.3678,,2023.5875,312.0580878
109,750,10.80175781,,796.068,37.02354082,836.4489796,4.47356,11.1839,87.23442,0.0,858.312
110,758,13.290002734,66.432366,232.3139,15.9547349,2678.571429,32.61970833,21.473088,95.06315,2023.5875,355.7025756
111,766,15.842578123,3.578848,796.068,11.88709003,0.0,17.08373333,44.288244,,0.0,312.0580878
112,769,,3.578848,52.191533332999995,,0.0,,2.23678,33.5517,0.0,335.517
113,772,0.0,16.440333,236.930421,37.02354082,650.5714286,16.016,33.104344,80.52408,3642.4575,214.578
114,777,9.073476562,23.48619,365.80589499999996,12.76378792,1261.22449,8.872560667,53.1458928,60.39306,662.265,248.9918029
115,778,10.80175781,35.78848,364.9398025,19.14568188,0.0,3.35517,5.815628,87.23442,0.0,312.0580878
116,790,,,125.818875,,382.6530612,,8.94712,44.7356,0.0,
117,793,6.481054688,,218.9638815,31.90946979,0.0,2.982373333,4.026204,20.13102,0.0,139.79875
118,796,0.0,68.445468,1326.78,22.21412449,1792.390671,6.262984,53.1458928,171.11367,0.0,224.0417041
119,801,,14.762748,136.4454,0.0,1380.140816,9.965511111,29.07814,,0.0,500.682
120,802,0.0,,309.582,19.14568188,697.0408163,2.23678,8.8576488,26.84136,0.0,218.4406615
121,803,17.13878906,8.94712,132.678,31.90946979,1385.422741,0.0,4.026204,,0.0,357.63
122,804,0.0,56.255017,26.059685167,0.0,0.0,3.802526,12.7943816,33.5517,0.0,312.0580878
123,822,,,146.7886875,,0.0,,8.94712,83.87925,0.0,
124,823,0.0,19.124469,485.063215,35.10041678,2434.110787,4.7531575,8.8576488,513.34101,0.0,319.4776507
125,826,,8.94712,69.899375,0.0,0.0,,4.026204,13.42068,0.0,
126,828,0.0,3.578848,531.904949333,33.32118674,154.854,8.872560667,17.7152976,169.99528,0.0,357.63
127,849,,38.02526,57.2378625,15.9547349,476.7428571,1.789424,4.920916,,0.0,218.4406615
128,851,0.0,31.091242,267.5183875,15.9547349,2562.244898,34.9496875,28.183428,436.1721,1655.6625,83.87925
129,852,9.194456251,15.81723,346.070971458,14.80941633,1518.367347,10.86436,8.62758,57.5172,0.0,222.8986341
130,854,2.88046875,0.0,0.0,14.80941633,497.8862974,0.0,0.0,0.0,0.0,0.0
131,859,,22.144122,221.13,30.81359743,0.0,0.0,4.026204,,0.0,
132,880,16.94393382,38.02526,198.478109375,25.91647858,0.0,23.113393333,49.20916,,2023.5875,249.6464702
133,898,0.0,22.144122,144.421095,25.52757584,585.5142857,5.032755,4.026204,60.39306,0.0,357.63
134,907,,22.815156,47.585265,12.76378792,645.6857143,2.23678,7.605052,46.97238,0.0,312.0580878
135,909,0.0,,331.695,37.02354082,964.2857143,42.70933333,0.0,,0.0,297.5099252
136,917,18.14695313,12.749646,199.017,15.97834685,1366.530612,3.559111111,8.8576488,,0.0,187.2348527
137,918,,3.067584,,,0.0,0.0,5.75172,,0.0,
138,926,6.895842188,16.104816,145.081209,18.51177041,1662.507289,5.59195,0.0,251.63775,0.0,196.0364911
139,933,8.60748073,60.952255,271.830346667,14.80941633,460.0469388,2.982373333,12.7943816,,0.0,357.63
140,936,0.0,15.210104,136.4454,18.51177041,1621.574344,10.736544,21.025731999999998,161.04816,0.0,355.7025756
141,948,,3.578848,,,0.0,,4.026204,,662.265,
142,958,0.0,95.957862,309.582,24.65087795,2928.279883,8.719822222,44.288244,,1655.6625,83.87925
143,962,2.88046875,,155.674894375,31.90946979,929.3877551,11.1839,4.920916,162.16654999999997,2023.5875,214.578
144,975,,,136.4454,31.90946979,2493.760933,,4.026204,,0.0,
145,976,20.56654688,25.307568,66.08498,10.13369425,1548.979592,0.0,21.3197088,,1214.1525,255.0085073
146,980,32.6453125,,91.38178291599999,11.88709003,1952.186589,13.04788333,4.920916,251.63775,0.0,195.71825
147,982,8.513385416999999,14.762748,333.0929875,27.57320425,2928.279883,1.9571825,4.5630312,13.42068,0.0,139.79875
148,1000,261.316125,27.736072,500.85148749999996,46.32998339,0.0,15.210104,13.6890936,84.99763999999999,0.0,139.79875
149,1005,17.13878906,24.940097,34.073615333,22.33662886,1992.857143,7.157696,4.026204,20.13102,0.0,858.312
150,1008,,7.66896,56.862,31.90946979,1261.22449,16.016,19.1724,,0.0,267.478361
151,1012,,,0.0,,0.0,,0.0,,0.0,
152,1017,,38.02526,50.597183,,0.0,,20.13102,20.13102,0.0,214.578
153,1019,,1.677585,132.678,15.9547349,340.5306122,6.794666667,5.815628,80.52408,0.0,
154,1042,4.03265625,15.210104,229.027131667,34.97791241,0.0,51.2512,13.6890936,,0.0,357.63
