id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num_x,vehicle_dist_x,vehicle_fuel_x,vehicle_use_x,fuel1_x,fuel2_x,fuel3_x,fuel4_x,fuel5_x,fuel6_x,fuel7_x,fuel8_x,fuel9_x,fuel10_x,vehicle_num_y,vehicle_dist_y,vehicle_fuel_y,vehicle_use_y,fuel1_y,fuel2_y,fuel3_y,fuel4_y,fuel5_y,fuel6_y,fuel7_y,fuel8_y,fuel9_y,fuel10_y,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region
4827,黑龙江省,哈尔滨市,双城市,-1,40,1,0,4,1,1,5,1,4,2,2,20000,5,20000,7,4000,2,850,2,18.75,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,28.518945,11.44363989,0,0,7.605052,0,0,0,47.56763689,47.56763689,Harbin,9.513527378,0
4829,黑龙江省,哈尔滨市,双城市,-1,32,2,1,5,2,2,3,4,5,0,3,50000,3,40000,7,16666.66667,1,-99,3,37.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,167.574225,0,0,0,29.07814,0,0,0,196.652365,196.652365,Harbin,65.55078833,0
4831,黑龙江省,七台河市,勃利县,-1,50,2,1,4,1,-99,3,4,3,2,1,10000,1,20000,7,10000,4,925,2,101.25,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1657.362525,0,0,7.118222222,17.89424,0,0,0,1682.374987,1682.374987,Qitaihe,1682.374987,0
4832,黑龙江省,哈尔滨市,道外区,-1,32,2,1,5,1,-99,2,4,4,2,5,150000,3,220000,7,50000,7,816.667,1.275,26.25,2,1,360,1,2,3.5,2666.667,210,1,0,6,105,2700,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,72.583511,222.060494,15.97834685,3074.693878,15.210104,2.23678,57.03789,0,1654.126088,5113.927091,5113.927091,Harbin,1704.642364,0
4833,黑龙江省,哈尔滨市,双城市,-1,33,2,0,4,1,-99,-99,4,4,2,4,60000,5,40000,7,12000,3,-99,2,20,1,0.429,22.5,-99,1,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,251.1325635,15.9547349,0,3.2032,13.42068,0,0,210.0390976,493.750276,493.750276,Harbin,98.75005519,0
4838,黑龙江省,哈尔滨市,道外区,1,44,2,1,5,3,-99,2,4,5,2,6,250000,2,70000,7,125000,6,-99,1.357,18.75,1,0.857,22.5,2,1,-99,-99,-99,-99,0,5.5,80,1600,1,2.25,7,6,3000,1,0.5,0,9,0,0,0,0,0,1,0,0,0,0,1,0.5,0,9,0,0,0,0,0,1,0,0,0,0,1,0.5,0,9,0,0,0,0,0,1,0,0,0,0,0,22.144122,132.678,15.9547349,2147.405248,2.3296,8.8576488,0,662.265,208.2569476,3199.891301,2537.626301,Harbin,1599.945651,0
4856,黑龙江省,哈尔滨市,道外区,-1,63,1,1,4,1,2,-99,1,3,0,2,23000,1,20000,7,23000,2,1500,1.714,52.5,1,0.429,90,-99,1,-99,-99,-99,-99,0,5.5,40,1450,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,152.10286,0,1193.002915,5.032755,12.7943816,143.15392,0,280.0521301,1786.138962,1786.138962,Harbin,1786.138962,0
4859,黑龙江省,黑河市,逊克县,-1,42,2,0,4,1,2,-99,4,4,1,2,20000,3,22500,7,6666.666667,4,850,1.072,31.875,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,31.874115,202.349511,0,0,0,24.60458,0,0,0,258.828206,258.828206,Heihe,86.27606867,0
4861,黑龙江省,七台河市,勃利县,1,40,1,1,4,1,-99,3,4,3,0,1,5000,3,21970,7,1666.666667,2,-99,2,225,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,268.11876,0,0,0,34.893768,0,0,0,303.012528,303.012528,Qitaihe,101.004176,0
4869,黑龙江省,七台河市,勃利县,1,48,2,0,4,2,-99,-99,3,3,1,0,0,3,80000,7,0,8,1175,2.258,20.625,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,1,-99,-99,6,1400,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,200.862844,347.524086,37.02354082,0,0.559195,2.9525496,13.42068,0,0,602.3428954,602.3428954,Qitaihe,200.7809651,0
