Unnamed: 0,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,prefecture_eng,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes
1760,8591,福建省,福州市,永泰县,1,47,3,0,4,2,2,-99,2,4,2,4,100000,7,50000,7,14285.71429,5,1200,1.465,30,2,1,26.25,3,2,2.5,3333.333,270,1,3,-99,-99,-99,1,2.25,7,6.5,1000,1,0.5,1,9,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,7,0,0,0,0,0,0,0,0,1,3,0,0,1,5
1761,8593,福建省,福州市,永泰县,-1,66,1,0,4,1,2,3,2,2,0,7,-99,1,2000,7,9999997,3,-99,1.344,32.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,1,Fuzhou,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,5
1762,8595,福建省,漳州市,东山县,1,41,3,1,4,1,2,3,4,4,2,4,60000,4,67500,7,15000,6,1500,2.5,20.625,1,2,22.5,1,1,4.5,3333.333,210,1,3,-99,-99,-99,1,2.25,-99,6.5,4500,1,0.5,0,0,0,0,1,0,1,0,0,0,0,0,Zhangzhou,1,2,0,0,0,0,0,0,1,0,0,2,0,0,1,5
1763,8596,福建省,漳州市,东山县,1,39,2,1,4,1,-99,-99,2,3,2,4,100000,3,-99,7,33333.33333,5,900,3,41.25,1,0.429,90,-99,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Zhangzhou,1,7,0,0,0,0,0,0,0,0,1,1,2,1,1,5
1764,8602,福建省,三明市,永安市,1,74,2,1,4,2,5,-99,4,5,0,4,75600,2,-99,7,37800,4,1200,2.107,18.75,1,2,22.5,-99,1,1,3333.333,60,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Sanming,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,5
1765,8609,福建省,三明市,永安市,-1,41,2,1,4,4,-99,-99,3,4,0,4,100000,3,180000,7,33333.33333,5,1200,3,22.5,1,2,22.5,-99,1,1.833,3333.333,60,-99,3,-99,-99,-99,1,2.25,6,6.5,1500,1,1.25,0,6,0,0,1,0,0,0,1,0,0,0,Sanming,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,5
1766,8620,福建省,漳州市,东山县,-1,47,3,1,4,1,3,1,5,5,2,4,75000,2,-99,7,37500,2,1500,1.5,22.5,1,1,22.5,-99,1,3.5,2666.667,480,2,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Zhangzhou,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1767,8652,福建省,三明市,永安市,1,27,3,0,5,0,-99,2,2,5,2,7,-99,3,-99,7,3333333,7,1500,2.107,20.625,1,1,90,-99,1,4.5,-99,270,-99,2,-99,-99,-99,1,2.25,7,-99,-99,1,2.75,2,9,0,0,0,0,0,1,0,0,0,0,Sanming,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,5
1768,8656,福建省,三明市,永安市,-1,36,2,0,6,3,-99,1,2,4,0,7,500000,3,100000,7,166666.6667,1,-99,3,37.5,1,3,22.5,-99,1,2.5,2600,130,2.333,2,-99,-99,-99,1,2.25,11,6.5,25000,1,2.25,0,11,0,0,0,0,1,0,0,0,0,0,Sanming,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,5
1769,8661,福建省,福州市,永泰县,1,37,3,1,5,2,-99,-99,3,4,2,5,200000,3,80000,7,66666.66667,3,850,1.81,35,1,2,37.5,1,1,2.5,3333.333,270,1,3,-99,-99,-99,1,2.75,9,7.5,5000,1,1.25,0,9,0,0,0,0,1,0,0,0,0,0,Fuzhou,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,5
