,Unnamed: 0,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,income_percapita,expenditure_percapita,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,percapita_en_ac,percapita_en_computer,percapita_en_cooking,percapita_en_freezing,percapita_en_heating,percapita_en_laundry,percapita_en_lighting,percapita_en_television,percapita_en_vehicle,percapita_en_waterheating,TotalHouseholdEnergyUse,percapita_HouseholdEnergyUse
513,513,3016,34.75,1,4,17000,10000,1,6,1,1,0,1,0,999999.0,999999.0,2.5,1,0,0,0,3,0,0,5,5,5,5,0,6,7,1,999999,4,5,999999,999999,999999,2,999999,1,999999,999999,2,0,0,0,0,0,0,1,0,0,1,1,1,1,4250.0,2500.0,0.0,0.0,100.544535,18.51177041,0.0,5.368272,2.23678,107.36544,0.0,0.0,234.0267974,234.0267974,1,55,1,0,4,1,5,-99,2,4,1,2,17000,3,10000,7,5666.666667,1,-99.0,3.0,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.514845,6.170590136666667,0.0,1.7894240000000001,0.7455933333333333,35.78848,0.0,0.0,234.02679741,78.00893247
514,514,3018,39.33333333,1,3,120000,85000,0,6,1,1,0,1,1,5.5,2.5,2.5,1,0,0,0,4,0,1,6,5,6,6,7,5,7,3,2,7,3,2,4,3,3,999999,8,999999,999999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,40000.0,28333.33333,0.0,31.874115,15.65746,7.977367449,0.0,161.04816,88.129132,120.78612,0.0,0.0,425.4723544,425.4723544,1,47,1,1,5,2,-99,-99,1,4,0,5,120000,2,85000,7,60000.0,1,400.0,1.0,52.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0.0,15.9370575,7.82873,3.9886837245,0.0,80.52408,44.064566,60.39306,0.0,0.0,425.472354449,212.7361772245
515,515,3020,44.4,0,5,20000,2100,1,6,2,0,0,1,0,2.5,999999.0,999999.0,1,0,0,0,5,1,1,5,5,6,6,3,2,6,1,999999,999999,0,999999,2,999999,999999,999999,1,999999,999999,7,0,0,0,0,0,0,0,0,1,1,1,1,1,4000.0,420.0,0.0,0.0,58.919055,0.0,0.0,0.0,9.5862,32.59308,0.0,0.0,101.098335,101.098335,-1,84,1,0,4,1,-99,3,5,5,0,2,20000,1,2100,6,20000.0,2,-99.0,1.016,30.0,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,58.919055,0.0,0.0,0.0,9.5862,32.59308,0.0,0.0,101.098335,101.098335
516,516,3026,29.25,1,4,30000,20000,1,6,3,1,0,1,1,2.5,999999.0,2.5,2,0,0,0,6,0,1,6,6,6,6,5,6,7,2,999999,3,2,2,0,999999,3,999999,6,999999,999999,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7500.0,5000.0,0.0,8.94712,180.6016333,18.51177041,0.0,13.04788333,8.499764,95.06315,0.0,0.0,324.6713211,324.6713211,1,43,2,0,4,1,-99,2,2,5,1,3,30000,3,20000,7,10000.0,3,725.0,1.476,30.0,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,0,0,0,0,1,0,0.0,2.9823733333333333,60.200544433333334,6.170590136666667,0.0,4.349294443333333,2.833254666666667,31.687716666666663,0.0,0.0,324.67132104,108.22377368000001
517,517,3029,70.6,0,5,0,0,1,6,3,0,0,1,0,2.5,999999.0,2.5,999999,0,0,0,0,3,1,6,6,6,6,8,8,7,1,999999,999999,2,999999,2,999999,1,999999,999999,999999,999999,7,0,0,0,0,0,0,0,0,1,0,5,1,0,0.0,0.0,0.0,0.0,268.11057,0.0,0.0,0.0,12.525968,44.7356,0.0,0.0,325.372138,325.372138,-1,82,1,0,4,1,3,3,5,5,2,0,0,1,0,7,0.0,3,-99.0,2.667,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,268.11057,0.0,0.0,0.0,12.525968,44.7356,0.0,0.0,325.37213799999995,325.37213799999995
518,518,3030,25.5,0,4,20000,61900,1,6,5,1,0,1,0,999999.0,999999.0,2.5,1,0,0,0,999999,1,1,6,6,6,6,8,8,7,0,999999,2,3,999999,999999,999999,2,999999,1,999999,999999,2,0,0,0,0,0,0,1,0,0,2,0,0,1,5000.0,15475.0,0.0,0.0,109.3805213,20.02636981,0.0,9.319916667,2.23678,80.52408,0.0,0.0,221.4876677,221.4876677,-1,38,3,0,5,2,-99,-99,2,4,2,2,20000,4,61900,7,5000.0,5,1500.0,1.132,20.625,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,27.345130325,5.0065924525,0.0,2.32997916675,0.559195,20.13102,0.0,0.0,221.487667777,55.37191694425
519,519,3032,43.2,1,5,42000,840,1,6,1,1,0,1,0,2.5,999999.0,999999.0,999999,0,0,0,5,3,1,6,6,6,6,8,8,7,1,999999,1,3,999999,2,999999,999999,999999,999999,999999,999999,7,0,0,0,0,0,0,0,0,1,0,2,1,0,8400.0,168.0,0.0,0.0,100.544535,11.48184832,0.0,13.42068,11.1839,80.52408,0.0,0.0,217.1550433,217.1550433,1,62,3,0,4,2,2,3,1,4,1,3,42000,2,840,7,21000.0,1,-99.0,3.0,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,50.2722675,5.74092416,0.0,6.71034,5.59195,40.26204,0.0,0.0,217.15504332,108.57752166
520,520,3034,42.0,0,4,40000,1160,0,6,3,1,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,4,3,1,6,6,6,6,7,8,7,1,999999,2,2,999999,999999,999999,3,999999,999999,999999,999999,8,0,0,0,0,0,0,0,0,0,0,1,1,0,10000.0,290.0,0.0,0.0,46.18102125,3.626076113,0.0,4.47356,4.026204,67.1034,0.0,0.0,125.4102614,125.4102614,-1,53,2,1,5,1,3,3,1,5,0,3,40000,4,1160,7,10000.0,3,500.0,1.7,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,11.5452553125,0.90651902825,0.0,1.11839,1.006551,16.77585,0.0,0.0,125.41026136299999,31.352565340749997
521,521,3041,36.42857143,1,7,10000,46100,1,1,4,1,0,1,0,2.5,2.5,999999.0,999999,0,0,0,4,1,0,6,5,6,6,5,8,7,4,999999,5,3,999999,0,0,999999,999999,999999,999999,999999,7,0,0,0,0,0,0,0,0,1,1,2,1,1,1428.571429,6585.714286,0.0,0.0,71.5715,0.0,0.0,10.736544,8.94712,60.39306,0.0,0.0,151.648224,151.648224,1,59,2,0,4,1,2,-99,3,4,0,1,10000,2,46100,7,5000.0,4,1050.0,1.758,58.125,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,35.78575,0.0,0.0,5.368272,4.47356,30.19653,0.0,0.0,151.648224,75.824112
522,522,3053,22.66666667,0,3,60000,56000,0,1,4,1,0,1,1,8.5,999999.0,8.5,1,1,0,1,7,2,1,6,6,6,6,4,6,7,3,4,3,2,2,3,999999,3,999999,4,2,999999,2,0,0,0,0,0,0,1,0,0,1,0,0,1,20000.0,18666.66667,0.0,8.94712,352.08082,14.80941633,0.0,6.262984,82.1345616,95.06315,993.3975,279.5429444,1832.238496,838.8409963,-1,33,3,1,5,3,-99,3,4,4,2,4,60000,3,56000,7,20000.0,4,466.667,1.964,31.875,1,3.0,37.5,2.0,1,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,1,1.25,7.0,6.5,-99,1,0.75,0,9.0,0,0,1,0,0,1,0,0,0,0,0.0,2.9823733333333333,117.36027333333334,4.9364721099999995,0.0,2.0876613333333336,27.3781872,31.687716666666663,331.1325,93.18098146666667,1832.23849633,610.7461654433333
523,523,3058,45.0,1,3,80000,30000,1,1,3,0,0,1,0,2.5,999999.0,2.5,1,0,0,0,4,2,1,5,5,5,5,6,7,7,2,999999,999999,3,999999,3,999999,3,999999,4,999999,999999,8,0,0,0,0,0,0,0,0,0,0,2,1,0,26666.66667,10000.0,0.0,0.0,421.9776925,19.14568188,0.0,0.0,24.157224,171.11367,0.0,0.0,636.3942684,636.3942684,1,25,1,0,4,1,-99,-99,4,4,2,4,80000,3,30000,7,26666.66667,3,500.0,2.667,30.0,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,140.65923083333334,6.38189396,0.0,0.0,8.052408,57.037890000000004,0.0,0.0,636.39426838,212.13142279333331
524,524,3063,61.0,0,3,43200,11600,0,1,1,0,0,1,0,999999.0,2.5,999999.0,999999,0,0,0,3,0,1,6,6,6,6,3,3,7,2,2,999999,3,999999,999999,3,999999,4,999999,999999,999999,8,0,0,0,0,0,0,0,0,0,0,1,1,0,14400.0,3866.666667,0.0,0.0,362.7030225,14.85886253,1662.507289,0.0,20.13102,60.39306,0.0,0.0,2120.593254,2120.593254,-1,51,1,1,4,1,-99,3,4,3,0,3,43200,3,11600,7,14400.0,1,-99.0,3.0,37.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,4.5,40,0,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,120.90100749999999,4.952954176666666,554.1690963333333,0.0,6.7103399999999995,20.13102,0.0,0.0,2120.5932540299996,706.8644180099999
525,525,3066,33.4,0,5,40000,16000,0,1,3,1,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,7,0,1,6,6,6,6,3,4,7,1,4,3,2,999999,999999,999999,2,4,999999,999999,999999,7,0,0,0,0,0,0,0,0,1,1,0,0,1,8000.0,3200.0,0.0,0.0,163.0453484,12.76378792,1311.953353,3.131492,2.23678,0.0,0.0,0.0,1493.130761,1493.130761,-1,49,2,1,4,2,-99,2,4,4,2,3,40000,2,16000,7,20000.0,3,500.0,1.367,27.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,4.5,80,2400,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,81.5226742,6.38189396,655.9766765,1.565746,1.11839,0.0,0.0,0.0,1493.13076132,746.56538066
526,526,3067,42.6,0,5,26400,13700,0,1,2,1,0,1,0,2.5,999999.0,999999.0,999999,0,0,0,999999,0,1,6,6,6,6,3,3,7,2,2,4,3,999999,4,999999,999999,4,999999,999999,999999,7,0,0,0,0,0,0,0,0,1,1,2,1,1,5280.0,2740.0,0.0,0.0,386.1892125,14.85886253,1311.953353,5.368272,29.07814,60.39306,0.0,0.0,1807.8409,1807.8409,-1,59,1,1,3,1,-99,2,2,4,0,3,26400,2,13700,7,13200.0,2,150.0,2.5,45.0,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,4.5,40,0,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,193.09460625,7.429431265,655.9766765,2.684136,14.53907,30.19653,0.0,0.0,1807.8409000300003,903.9204500150001
527,527,3074,40.0,0,3,100000,56000,0,1,1,1,0,1,1,999999.0,2.5,999999.0,999999,1,1,1,7,2,1,6,6,6,6,4,3,7,1,4,2,2,2,999999,2,999999,3,999999,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33333.33333,18666.66667,0.294831979,38.02526,132.678,12.76378792,1339.285714,2.982373333,11.1839,33.5517,993.3975,213.4215454,2777.289781,1784.187113,-1,49,3,1,5,3,-99,1,4,5,2,4,100000,3,56000,7,33333.33333,1,-99.0,2.0,22.5,1,2.0,22.5,-99.0,1,3.5,2600.0,90.0,-99.0,0,3.5,105,3000,1,2.25,9.0,6.5,10000,1,0.75,0,9.0,0,0,0,0,0,1,0,0,0,0,0.09827732633333335,12.675086666666667,44.226,4.254595973333333,446.42857133333337,0.9941244443333334,3.7279666666666667,11.1839,331.1325,71.14051513333334,2777.584612632,925.8615375439999
528,528,3078,28.5,1,2,20000,8400,1,1,0,0,0,0,1,2.5,2.5,999999.0,999999,0,0,0,6,0,1,6,6,6,6,3,2,7,999999,999999,999999,999999,3,2,2,999999,999999,999999,999999,999999,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,4200.0,0.0,57.373407,0.0,0.0,0.0,0.0,22.3678,0.0,0.0,0.0,79.741207,79.741207,1,28,1,0,5,4,-99,5,4,2,2,2,20000,2,8400,7,10000.0,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,0.0,28.6867035,0.0,0.0,0.0,0.0,11.1839,0.0,0.0,0.0,79.741207,39.8706035
529,529,3084,20.0,0,2,60000,42000,0,1,4,1,0,1,1,999999.0,2.5,2.5,999999,0,0,0,999999,0,1,6,6,6,6,4,6,7,3,4,3,1,1,999999,2,2,3,999999,999999,999999,11,0,0,0,0,0,0,0,0,0,0,0,0,0,30000.0,21000.0,0.0,5.368272,555.8013825,12.76378792,1020.408163,24.91377778,13.42068,100.6551,0.0,0.0,1733.331163,1733.331163,-1,19,1,1,5,0,2,-99,4,4,2,4,60000,2,42000,7,30000.0,4,1200.0,1.714,37.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,3.5,40,0,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,2.684136,277.90069125,6.38189396,510.2040815,12.45688889,6.71034,50.32755,0.0,0.0,1733.3311632,866.6655816
