,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,income_percapita,expenditure_percapita,Unnamed: 0,ac_emission,computer_emission,cooking_emission,freezing_emission,heating_emission,laundry_emission,lighting_emission,television_emission,vehicle_emission,waterheating_emission,percapita_ac_emission,percapita_computer_emission,percapita_cooking_emission,percapita_freezing_emission,percapita_heating_emission,percapita_laundry_emission,percapita_lighting_emission,percapita_television_emission,percapita_vehicle_emission,percapita_waterheating_emission,TotalHouseholdEmission,percapita_HouseholdEmission
156,1050,30.66666667,0,3,100000,22000,0,0,2,1,0,1,1,2.5,999999.0,2.5,999999,1,1,0,5,0,0,5,5,6,5,5,7,7,1,4,2,3,4,5,999999,2,4,999999,0,5,2,0,0,0,0,0,0,1,0,0,1,0,0,1,33333.33333,7333.333333,156,0.0,79.964885,153.6478125,31.786965428,250.29,9.319916667,46.97238,0.0,0.0,399.3470634,0.0,26.654961666666665,51.215937499999995,10.595655142666667,83.42999999999999,3.1066388889999996,15.65746,0.0,0.0,133.11568780000002,971.3290229950001,323.77634099833335
157,1054,37.4,1,5,50000,50000,0,0,1,0,0,1,0,999999.0,5.5,2.5,999999,1,1,0,6,2,1,6,6,6,6,4,5,7,1,4,999999,3,999999,999999,2,2,3,999999,0,1,7,0,0,0,0,0,0,0,0,1,1,2,1,1,10000.0,10000.0,157,0.0,0.0,199.017,14.80941633,2232.0,0.0,26.84136,0.0,0.0,312.0580878,0.0,0.0,39.803399999999996,2.961883266,446.4,0.0,5.368272,0.0,0.0,62.41161756,2784.72586413,556.945172826
158,1061,72.33333333,0,3,948000,57200,0,0,5,1,0,2,0,999999.0,999999.0,5.5,999999,1,2,0,5,2,0,6,6,6,6,8,8,7,1,4,1,5,999999,999999,999999,3,4,999999,1,2,8,0,0,0,0,0,0,0,0,0,0,2,1,0,316000.0,19066.66667,158,110.6676094,0.0,233.68709,31.90946979,2163.0,5.032755,8.8576488,140.91714000000002,0.0,399.3470634,36.88920313333333,0.0,77.89569666666667,10.63648993,721.0,1.6775849999999999,2.9525495999999998,46.97238000000001,0.0,133.11568780000002,3093.41877639,1031.13959213
159,1074,41.0,0,6,20000,12000,-99,0,3,1,0,1,1,999999.0,999999.0,5.5,999999,0,2,0,5,2,1,999999,999999,999999,6,7,8,7,2,4,999999,3,999999,999999,999999,2,4,999999,999999,4,7,0,0,0,0,0,0,0,0,1,1,2,1,1,3333.333333,2000.0,159,13.4421875,0.0,390.5509335,14.80941633,1236.0,0.0,4.920916,80.52408,0.0,0.0,2.240364583333333,0.0,65.09182224999999,2.4682360549999998,206.0,0.0,0.8201526666666666,13.420679999999999,0.0,0.0,1740.24753333,290.04125555499996
160,1075,44.25,1,4,100000,29500,0,0,6,1,0,1,0,999999.0,999999.0,5.5,999999,1,1,0,6,2,1,6,6,5,6,6,8,7,4,4,3,4,999999,999999,999999,3,3,999999,4,4,8,0,0,0,0,0,0,0,0,0,1,1,1,1,25000.0,7375.0,160,0.0,0.0,849.89051875,19.97293356,1367.1,33.2721025,8.8576488,116.31256,0.0,335.517,0.0,0.0,212.4726296875,4.99323339,341.775,8.318025625,2.2144122,29.07814,0.0,83.87925,2730.9227636099995,682.7306909024999
161,1089,28.5,0,4,9999998,41000,1,0,3,1,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,999999,1,0,6,6,6,6,0,0,0,2,1,4,1,999999,999999,999999,3,999999,999999,999999,999999,9,0,0,0,0,0,0,0,0,0,1,0,0,1,2499999.5,10250.0,161,0.0,0.0,0.0,6.731552877,1437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68288821925,359.375,0.0,0.0,0.0,0.0,0.0,1444.231552877,361.05788821925
162,1106,64.5,0,2,9999999,9999998,0,0,3,1,0,1,0,999999.0,999999.0,2.5,999999,1,1,0,999999,2,1,6,6,6,6,6,8,7,2,4,4,2,999999,999999,999999,3,4,999999,1,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,4999999.5,4999999.0,162,5.422058824,0.0,366.924285,15.97834685,2000.0,5.368272,4.026204,33.5517,0.0,83.87925,2.711029412,0.0,183.4621425,7.989173425,1000.0,2.684136,2.013102,16.77585,0.0,41.939625,2515.150116674,1257.575058337
163,1129,40.0,0,3,24000,79000,0,0,5,1,0,1,2,999999.0,999999.0,2.5,999999,1,1,0,999999,2,0,6,6,6,6,2,3,7,2,4,2,5,0,999999,999999,3,4,999999,1,5,2,0,0,0,0,0,0,1,0,0,1,1,1,1,8000.0,26333.33333,163,0.0,38.02526,333.950419833,37.02354082,1500.0,7.455933333,4.026204,0.0,0.0,83.87925,0.0,12.675086666666667,111.316806611,12.341180273333334,500.0,2.485311111,1.342068,0.0,0.0,27.95975,2004.360607986,668.120202662
164,1132,48.5,0,2,9999999,30000,0,0,2,1,0,2,0,999999.0,5.5,2.5,1,1,0,0,6,2,0,6,6,6,6,6,7,5,3,4,3,0,999999,999999,3,1,999999,8,2,999999,10,0,0,0,0,0,0,0,0,0,0,1,1,0,4999999.5,15000.0,164,0.0,0.0,228.31965,14.80941633,0.0,4.47356,32.59308,38.3448,0.0,99.85625,0.0,0.0,114.159825,7.404708165,0.0,2.23678,16.29654,19.1724,0.0,49.928125,418.39675633,209.198378165
165,1138,58.66666667,0,3,36000,15800,0,0,4,1,0,2,0,999999.0,999999.0,5.5,999999,1,1,0,5,2,1,5,6,5,6,5,6,7,3,4,2,4,999999,999999,999999,3,4,999999,3,3,8,0,0,0,0,0,0,0,0,0,0,1,1,0,12000.0,5266.666667,165,0.0,0.0,464.373,29.71772507,576.8,0.0,8.8576488,0.0,0.0,312.0580878,0.0,0.0,154.791,9.905908356666666,192.26666666666665,0.0,2.9525495999999998,0.0,0.0,104.01936260000001,1391.80646167,463.9354872233334
