id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region
14042,广东省,广州市,荔湾区,1,79,1,1,4,1,-99,2,5,5,0,3,36000,3,13000,7,12000,3,1050,2.667,22.5,1,0.857,15,-99,1,5.5,3333.333,480,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,279.54108,0,0,0.782873,22.3678,116.31256,0,143.052,562.056313,562.056313,Guangzhou,187.3521043,1
14046,广东省,广州市,天河区,-1,51,0,1,1,1,-99,2,4,3,0,4,70000,2,37000,7,35000,3,983.333,2,47.5,1,1,52.5,1,1,2.5,2666.667,480,5,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1.34421875,0,155.45621,0,0,26.69333333,26.84136,0,0,312.0580878,521.0489911,522.3932099,Guangzhou,260.5244956,1
14059,广东省,广州市,白云区,-1,58,2,0,4,6,-99,2,4,5,0,6,300000,5,59000,7,60000,3,233.333,1.667,30,1,2,15,2,1,4.5,2600,450,2,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,80.52408,34.110895,12.76378792,0,8.387925,12.7943816,95.06315,0,143.052,386.6962195,386.6962195,Guangzhou,77.3392439,1
14060,广东省,广州市,荔湾区,-1,34,2,1,5,1,5,2,4,4,2,5,200000,3,150000,7,66666.66667,6,925,2.5,33.75,1,1,22.5,2,1,2.5,3333.333,180,-99,2,-99,-99,-99,1,2.75,7,6.5,20000,1,1.75,0,9,0,0,0,0,1,0,0,0,0,0,0.507815972,8.94712,496.07103,14.80941633,26.11625,36.0680775,4.026204,20.13102,2317.9275,421.20351,3345.300128,1027.880444,Guangzhou,1115.100043,1
14065,广东省,广州市,海珠区,-1,29,2,1,5,2,-99,3,4,3,0,4,80000,4,32000,7,20000,3,600,3,32.5,1,3,22.5,2,1,4,2666.667,270,1.5,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,45.85399,299.6721,31.90946979,0,16.77585,22.3678,67.1034,0,214.578,698.2606098,698.2606098,Guangzhou,174.5651524,1
14068,广东省,广州市,海珠区,1,60,3,1,4,1,3,-99,4,4,0,4,70000,3,70000,7,23333.33333,3,400,2.333,30,1,2,37.5,2,1,4.5,2666.667,390,2,3,-99,-99,-99,1,1.25,9,6.5,10000,1,0.75,0,9,0,0,0,0,0,1,0,0,0,0,0,36.90687,363.00992,15.9547349,0,11.1839,33.104344,116.31256,993.3975,248.9918029,1818.861632,825.4641318,Guangzhou,606.2872106,1
14074,广东省,广州市,白云区,-1,44,3,1,4,3,-99,-99,2,4,2,4,100000,3,49000,7,33333.33333,2,850,2,22.5,1,2,22.5,3,1,4.167,2844.444,350,2.333,3,-99,-99,-99,1,2.25,-99,7.5,4000,1,3.25,0,0,0,0,0,0,0,1,0,0,0,0,0,30.867564,161.196945,12.76378792,0,34.9496875,57.9773376,251.63775,0,284.5620605,833.9551325,833.9551325,Guangzhou,277.9850442,1
14088,广东省,广州市,白云区,1,66,3,1,4,1,-99,-99,2,4,0,5,160000,2,23000,7,80000,4,983.333,2.25,20.625,1,2,22.5,1,1,3,3333.333,240,2,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,231.655515,15.9547349,0,23.7657875,20.0415488,0,0,214.578,505.9955862,505.9955862,Guangzhou,252.9977931,1
14090,广东省,广州市,海珠区,1,61,2,1,4,2,2,-99,2,3,0,4,60000,2,43350,7,30000,3,825,2.333,30,1,2,22.5,2,1,4.5,2666.667,330,2,3,-99,-99,-99,1,2.25,-99,6.5,-99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.432366,382.02255,15.9547349,0,16.77585,24.157224,120.78612,0,83.87925,710.0080949,710.0080949,Guangzhou,355.0040474,1
14091,广东省,广州市,白云区,-1,17,2,0,5,6,3,-99,2,4,2,7,-99,4,20000,0,2499999.5,3,725,1.286,30,1,3,15,1,1,-99,2666.667,460,1,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43.20703125,0,0,0,0,0,43.20703125,43.20703125,Guangzhou,10.80175781,1
