,NumVehicle_codes,TVtime_codes,IF_coupleA,Reno_WindowGlass_codes,IF_existChildren,WindowFrame_codes,GlassType_codes,IF_existElderly,SummerSunshine_codes,NumWaterHeater_list,Reno_OtherHeatInsu_codes,NumTV_list,gender_codes,NumAC_list,IF_single_elderly,IF_singleWithChildren,elderNumber,Weektime_list,percapita_HouseholdEmission,expenditure_percapita,IF_grandparentKids,IF_bigFamily,HouseAge_codes,NumCookingEquip_list,IF_coupleWithChildren,Cookingtime_codes,family_size,IF_couple_elderly,NumPC_list,childrenNumber,NumWashMach_list,IF_singleAE,demographicType,ages_mean,NumDryer_list,income_percapita,expenditure_list,WinterSunshine_codes,IF_singleA,income_list,Reno_WindowGap_codes,Reno_Wall_codes,cluster
2522,0,0.0,0,4.0,0,1.0,1.0,1,7.0,0,4.0,1,1,1,0,0,2,7,484.9593689166666,2600.0,0,0,5.0,2,0,4.0,3,0,0,0,1,0,8,53.0,0,16666.66667,7800.0,6.0,0,50000,4.0,4.0,0
2523,0,5.0,0,6.0,1,0.0,0.0,1,8.0,0,6.0,1,1,0,0,0,2,7,399.637734965,1500.0,0,1,6.0,1,0,3.0,6,0,1,2,1,0,7,35.0,0,13333.33333,9000.0,8.0,0,80000,6.0,6.0,0
2525,0,4.0,0,6.0,0,0.0,0.0,0,8.0,0,6.0,1,1,1,0,0,0,7,834.89378628,13333.33333,0,0,5.0,1,0,2.0,3,0,0,0,1,0,9,39.0,0,13333.33333,40000.0,7.0,0,40000,6.0,6.0,0
2527,0,3.0,0,6.0,1,1.0,0.0,1,4.0,1,6.0,1,0,0,0,0,1,7,355.4779901233333,4166.666667,0,1,4.0,2,0,1.0,6,0,0,1,1,0,7,33.66666667,0,6666.666667,25000.0,3.0,0,40000,6.0,6.0,0
2528,1,5.0,0,5.0,0,0.0,0.0,1,7.0,2,6.0,2,1,2,0,0,2,7,2314.31970308,2000.0,0,0,6.0,1,0,2.0,4,0,1,0,1,0,8,45.0,1,25000.0,8000.0,5.0,0,100000,6.0,6.0,1
2529,0,1.0,0,6.0,0,0.0,0.0,0,4.0,1,6.0,1,1,0,0,0,0,7,738.1480346100001,11666.66667,0,0,6.0,2,0,2.0,3,0,1,0,1,0,9,38.33333333,0,13333.33333,35000.0,2.0,0,40000,6.0,6.0,0
2530,0,1.0,0,5.0,0,0.0,0.0,1,4.0,1,6.0,1,0,0,0,0,2,7,523.17716342925,4500.0,0,0,3.0,4,0,1.0,4,0,0,0,1,0,8,54.0,0,8750.0,18000.0,2.0,0,35000,5.0,6.0,0
2531,0,2.0,0,4.0,0,0.0,1.0,1,8.0,1,6.0,2,1,1,0,0,3,7,483.6029635,1650.0,0,0,6.0,4,0,2.0,4,0,0,0,1,0,8,58.5,0,3000.0,6600.0,7.0,0,12000,6.0,6.0,0
2533,0,2.0,0,6.0,0,1.0,0.0,1,6.0,0,6.0,1,1,0,0,0,2,7,298.07826642857145,4000.0,0,1,0.0,1,0,1.0,7,0,0,0,0,0,7,47.85714286,0,25714.28571,28000.0,4.0,0,180000,6.0,6.0,1
2535,0,0.0,0,3.0,0,0.0,0.0,1,7.0,1,6.0,1,0,1,0,0,2,7,1111.0338383,7100.0,0,0,5.0,2,0,4.0,2,1,0,0,0,0,6,61.5,0,10000.0,14200.0,6.0,0,20000,3.0,6.0,0
2537,0,0.0,0,4.0,1,0.0,0.0,1,7.0,1,6.0,1,1,0,0,0,2,1,220.40599027400003,5600.0,0,1,6.0,1,0,2.0,5,0,1,1,0,0,7,47.8,0,12000.0,28000.0,6.0,0,60000,6.0,6.0,0
