id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num_x,vehicle_dist_x,vehicle_fuel_x,vehicle_use_x,fuel1_x,fuel2_x,fuel3_x,fuel4_x,fuel5_x,fuel6_x,fuel7_x,fuel8_x,fuel9_x,fuel10_x,vehicle_num_y,vehicle_dist_y,vehicle_fuel_y,vehicle_use_y,fuel1_y,fuel2_y,fuel3_y,fuel4_y,fuel5_y,fuel6_y,fuel7_y,fuel8_y,fuel9_y,fuel10_y,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,en_ac_percap,en_computer_percap,en_cooking_percap,en_freezing_percap,en_heating_percap,en_laundry_percap,en_lighting_percap,en_television_percap,en_vehicle_percap,en_waterheating_percap,en_total_no_vehicle_percap
2544,山西省,太原市,迎泽区,1,56,3,1,4,1,3,-99,2,4,2,7,-99,2,-99,6,4999998.5,2,1250.0,0.857,63.75,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,2.5,60,-99,1,2.75,7.0,6.0,-99,1,1.75,0,9.0,0,0,0,0,0,1,0,0,0,0,1,1.75,0,9.0,0,0,0,0,0,1,0,0,0,0,1,1.75,0,9.0,0,0,0,0,0,1,0,0,0,0,0.0,7.66896,171.60325,19.14568188,546.6472303,9.5862,37.961352,0.0,2317.9275,0.0,3110.540174,792.6126742,Taiyuan,1555.270087,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0.0,3.83448,85.801625,9.57284094,273.32361515,4.7931,18.980676,0.0,1158.96375,0.0,396.3063371
2548,山西省,太原市,迎泽区,1,74,3,0,4,1,-99,2,4,4,0,3,40000,2,200000,7,20000.0,2,1250.0,3.0,45.0,1,0.429,37.5,1.0,1,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,1,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,1,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,612.633294,17.83063504,0.0,4.175322667,11.1839,0.0,0.0,280.0521301,925.8752818,925.8752818,Taiyuan,462.9376409,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0.0,0.0,306.316647,8.91531752,0.0,2.0876613335,5.59195,0.0,0.0,140.02606505,462.9376409
2556,山西省,太原市,迎泽区,-1,23,2,1,5,0,-99,2,2,3,2,3,50000,5,-99,7,10000.0,2,-99.0,3.0,30.0,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,1,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,1,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,1,0,0,0,1,0,0,0,0,0,0.0,36.90687,362.7030225,0.0,0.0,3.114222222,4.026204,0.0,0.0,0.0,406.7503187,406.7503187,Taiyuan,81.35006374,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.0,7.381373999999999,72.5406045,0.0,0.0,0.6228444444,0.8052408,0.0,0.0,0.0,81.35006374
2558,山西省,运城市,河津市,-1,60,2,1,4,1,2,-99,4,5,0,7,-99,3,20000,7,3333333.0,2,1500.0,1.928,30.0,1,0.857,37.5,1.0,1,-99.0,-99.0,-99.0,-99.0,0,4.5,80,5000,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,125.818875,15.9547349,2389.854227,3.336666667,4.920916,0.0,0.0,297.5099252,2837.395345,2837.395345,Yuncheng,945.7984484,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0.0,0.0,41.939625,5.318244966666667,796.6180756666666,1.1122222223333333,1.6403053333333333,0.0,0.0,99.16997506666667,945.7984483333333
2563,山西省,长治市,襄垣县,-1,64,3,0,4,1,-99,-99,2,1,2,7,-99,4,-99,7,2499999.75,1,-99.0,3.0,37.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,7,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,7,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,153.828675,0.0,0.0,0.0,6.71034,0.0,0.0,0.0,160.539015,160.539015,Changzhi,40.13475375,0,8,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0.0,0.0,38.45716875,0.0,0.0,0.0,1.677585,0.0,0.0,0.0,40.13475375
2564,山西省,运城市,河津市,1,41,3,0,4,1,2,-99,3,4,2,2,20000,3,18000,7,6666.666667,3,1500.0,1.344,37.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,248.5818183,12.76378792,0.0,10.67733333,1.342068,0.0,0.0,0.0,273.3650076,273.3650076,Yuncheng,91.12166919,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,82.8606061,4.254595973333333,0.0,3.55911111,0.44735600000000003,0.0,0.0,0.0,91.1216692
2566,山西省,运城市,河津市,-1,33,2,0,5,1,2,-99,2,5,2,3,50000,2,15500,7,25000.0,2,1250.0,2.0,22.5,1,1.0,22.5,3.0,1,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,1,2.75,9.0,6.5,3000,1,0.75,1,9.0,0,0,0,0,1,0,0,0,0,0,1,0.75,1,9.0,0,0,0,0,1,0,0,0,0,0,1,0.75,1,9.0,0,0,0,0,1,0,0,0,0,0,0.0,22.144122,187.020834,0.0,0.0,83.87925,11.1839,0.0,993.3975,187.2348527,1484.860459,491.4629587,Yuncheng,742.4302293,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,11.072061,93.510417,0.0,0.0,41.939625,5.59195,0.0,496.69875,93.61742635,245.73147935
2569,山西省,长治市,襄垣县,1,74,2,0,3,1,-99,3,4,4,0,3,50000,4,29700,7,12500.0,1,-99.0,3.0,22.5,1,0.429,90.0,2.0,1,-99.0,-99.0,-99.0,-99.0,0,5.5,105,2400,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,199.017,14.80941633,3121.530612,10.736544,22.815156,67.1034,0.0,335.517,3771.529129,3771.529129,Changzhi,942.8822821,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0.0,0.0,49.75425,3.7023540825,780.382653,2.684136,5.703789,16.77585,0.0,83.87925,942.88228225
2578,山西省,长治市,襄垣县,1,24,3,0,5,1,-99,-99,4,5,2,4,60000,1,12700,7,60000.0,1,-99.0,1.0,37.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,5.5,120,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,8.94712,110.565,0.0,2405.247813,0.0,11.1839,13.42068,0.0,0.0,2549.364513,2549.364513,Changzhi,2549.364513,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.0,8.94712,110.565,0.0,2405.247813,0.0,11.1839,13.42068,0.0,0.0,2549.364513
2582,山西省,太原市,迎泽区,1,29,3,1,5,4,3,3,4,5,2,7,500000,2,100000,7,250000.0,1,-99.0,2.0,52.5,1,2.0,90.0,-99.0,1,1.25,3366.667,75.0,2.0,0,4.5,105,3000,1,2.75,11.0,6.5,6000,1,0.5,1,11.0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,11.0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,11.0,0,0,0,0,0,1,0,0,0,0,2.5809,84.550284,309.582,14.85886253,2562.244898,15.65746,4.920916,40.26204,809.435,858.312,4702.40436,3892.96936,Taiyuan,2351.20218,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1.29045,42.275142,154.791,7.429431265,1281.122449,7.82873,2.460458,20.13102,404.7175,429.156,1946.48468
