id,type,use
387,computer,3.067584
387,lighting,1.6871712
387,waterheating,71.8965
387,ac,0
387,ac,6.481054688
387,vehicle,1655.6625
392,cooking,155.9376
392,cooking,0
392,cooking,0
392,cooking,0
392,freezing,19.97293356
392,heating,1423.469388
392,laundry,9.512533333
392,computer,8.94712
392,computer,5.368272
392,computer,5.368272
392,lighting,24.60458
392,lighting,20.13102
392,lighting,8.8576488
392,waterheating,357.63
392,vehicle,1655.6625
393,cooking,199.017
393,freezing,12.76378792
393,heating,470.502551
393,laundry,2.23678
393,television,120.78612
393,computer,23.262512
393,lighting,8.8576488
393,waterheating,214.578
393,ac,0
393,vehicle,0
422,cooking,0
422,cooking,0
422,cooking,0
422,heating,1967.930029
422,computer,0
422,lighting,0
422,waterheating,0
422,vehicle,4304.7225
435,cooking,0
435,cooking,0
435,cooking,0
435,cooking,0
435,freezing,0
435,heating,0
435,laundry,0
435,computer,0
435,computer,0
435,computer,0
435,computer,0
435,lighting,0
435,waterheating,0
435,ac,0
435,ac,0
435,vehicle,0
439,cooking,0
439,freezing,12.76378792
439,heating,1945.889213
439,laundry,0
439,computer,0
439,computer,0
439,lighting,0
439,lighting,0
439,vehicle,662.265
460,cooking,33.5517
460,cooking,25.163775
460,cooking,1.188289375
460,heating,0
460,lighting,20.13102
460,vehicle,0
468,cooking,110.565
468,cooking,41.939625
468,cooking,13.979875
468,cooking,9.506315
468,freezing,37.02354082
468,heating,368.0651714
468,laundry,11.1839
468,laundry,4.7531575
468,television,80.52408
468,computer,31.874115
468,computer,68.445468
468,lighting,13.6890936
468,waterheating,399.3470634
468,waterheating,272.0506407
468,ac,0
468,vehicle,0
470,cooking,132.678
470,cooking,27.95975
470,cooking,0
470,freezing,11.88709003
470,heating,2678.571429
470,laundry,9.319916667
470,television,95.06315
470,computer,5.368272
470,computer,5.368272
470,lighting,4.920916
470,waterheating,187.2348527
470,ac,22.85171875
470,vehicle,2980.1925
476,cooking,309.582
476,cooking,309.582
476,freezing,12.76378792
476,heating,935.1603499
476,laundry,1.789424
476,laundry,6.71034
476,television,214.73088
476,television,214.73088
476,computer,14.762748
476,computer,23.262512
476,lighting,20.13102
476,lighting,11.1839
476,lighting,1.342068
476,waterheating,187.2348527
476,ac,72.2652
476,vehicle,0
478,cooking,796.068
478,cooking,7.157696
478,cooking,62.9094375
478,cooking,8.387925
478,freezing,0
478,heating,282.3015306
478,laundry,14.315392
478,lighting,29.07814
478,lighting,29.07814
478,lighting,4.026204
478,waterheating,858.312
478,ac,0
478,vehicle,993.3975
481,cooking,120.9010075
481,cooking,10.06551
481,cooking,20.13102
481,freezing,6.754028425
481,heating,0
481,television,13.42068
481,computer,3.578848
481,lighting,0.894712
481,ac,15.12246094
481,vehicle,0
489,cooking,66.339
489,cooking,4.47356
489,cooking,6.71034
489,freezing,0
489,heating,0
489,heating,0
489,heating,0
489,laundry,7.455933333
489,television,80.52408
489,television,17.89424
489,computer,14.762748
489,computer,3.578848
489,computer,16.104816
489,computer,3.578848
489,computer,16.104816
489,lighting,24.60458
489,lighting,0.894712
489,waterheating,312.0580878
489,ac,0
489,vehicle,0
490,cooking,331.695
490,cooking,47.531575
490,cooking,33.5517
490,freezing,19.14568188
490,heating,612.955102
490,laundry,16.77585
490,television,33.5517
490,computer,38.02526
490,computer,8.94712
490,lighting,44.288244
490,lighting,4.026204
490,waterheating,312.0580878
490,ac,11.14910846
490,vehicle,0
493,cooking,72.5406045
493,cooking,41.939625
493,cooking,27.95975
493,cooking,0
493,freezing,12.76378792
493,freezing,0
493,heating,0
493,heating,0
493,heating,0
493,laundry,167.7585
493,television,26.84136
493,television,174.46884
493,computer,0
493,lighting,6.262984
493,waterheating,187.2348527
493,vehicle,1103.775
509,cooking,796.068
509,cooking,0
509,cooking,0
509,cooking,0
509,freezing,15.9547349
509,freezing,18.51177041
509,heating,1792.390671
509,laundry,0
509,computer,118.101984
509,computer,28.630784
509,lighting,29.07814
509,lighting,2.23678
509,waterheating,195.71825
509,ac,9.1406875
509,vehicle,0
510,heating,0
510,computer,0
510,lighting,0
510,waterheating,0
510,ac,0
510,vehicle,0
512,cooking,110.565
512,cooking,8.94712
512,cooking,0
512,cooking,6.71034
512,freezing,14.80941633
512,heating,1793.571429
512,laundry,3.2032
512,computer,68.445468
512,computer,16.104816
512,lighting,0.894712
512,waterheating,83.87925
512,ac,0
512,ac,0
512,ac,6.273020833
512,vehicle,662.265
513,cooking,507.7842315
513,cooking,41.939625
513,cooking,6.71034
513,cooking,1.164989583
513,freezing,12.76378792
513,heating,1681.632653
513,laundry,4.175322667
513,television,40.26204
513,computer,8.94712
513,lighting,44.288244
513,lighting,8.8576488
513,waterheating,187.2348527
513,ac,2.6884375
513,ac,2.6884375
513,vehicle,1655.6625
515,heating,0
515,heating,0
515,heating,0
515,computer,0.511264
515,lighting,0.127816
515,vehicle,0
518,cooking,145.081209
518,cooking,4.47356
518,freezing,2.70161137
518,heating,0
518,heating,0
518,heating,0
518,laundry,2.23678
518,television,33.5517
518,lighting,4.47356
518,lighting,1.342068
518,vehicle,0
520,cooking,331.695
520,cooking,2.982373333
520,cooking,41.939625
520,cooking,20.13102
520,freezing,37.02354082
520,heating,975.8571429
520,laundry,2.982373333
520,television,60.39306
520,computer,8.94712
520,lighting,8.8576488
520,waterheating,139.79875
520,ac,4.320703125
520,ac,5.87615625
520,vehicle,0
528,cooking,464.373
528,cooking,10.06551
528,cooking,0
528,cooking,0
528,freezing,31.90946979
528,heating,2162.099125
528,laundry,3.35517
528,television,60.39306
528,television,33.5517
528,lighting,2.23678
528,waterheating,279.5429444
528,ac,3.9174375
528,vehicle,0
537,cooking,21.975525
537,cooking,6.790225
537,freezing,14.80941633
537,heating,21.60351563
537,heating,0
537,heating,0
537,television,12.46206
537,lighting,0.31954
537,ac,10.80175781
537,vehicle,0
543,cooking,110.565
543,cooking,2.23678
543,cooking,1.789424
543,cooking,1.109070083
543,freezing,18.51177041
543,heating,1513.469388
543,laundry,6.262984
543,television,60.39306
543,television,20.13102
543,computer,31.874115
543,lighting,2.23678
543,waterheating,195.71825
543,ac,0
543,ac,0
543,vehicle,2833.0225
551,cooking,362.7030225
551,cooking,0
551,cooking,0
551,freezing,12.76378792
551,freezing,0
551,heating,840.8163265
551,laundry,3.737066667
551,computer,3.578848
551,lighting,2.23678
551,ac,3.482166667
551,ac,2.560416667
551,vehicle,662.265
553,cooking,199.017
553,cooking,50.32755
553,cooking,41.939625
553,freezing,15.9547349
553,heating,383.0969388
553,laundry,11.1839
553,laundry,5.59195
553,television,363.47675
553,computer,16.104816
553,lighting,44.288244
553,lighting,4.026204
553,waterheating,187.2348527
553,ac,0
553,vehicle,0
563,cooking,66.339
563,cooking,2.23678
563,cooking,11.1839
563,cooking,13.42068
563,freezing,11.88709003
563,heating,1138.77551
563,laundry,4.175322667
563,television,44.7356
563,computer,5.368272
563,lighting,118.101984
563,lighting,36.5042496
563,waterheating,312.0580878
563,ac,37.90696875
563,vehicle,0
566,cooking,97.461
566,cooking,16.77585
566,cooking,5.59195
566,cooking,2.982373333
566,freezing,15.9547349
566,heating,681.0612245
566,laundry,6.262984
566,television,60.39306
566,lighting,11.1839
566,lighting,1.342068
566,ac,0
566,vehicle,0
572,cooking,331.695
572,cooking,41.939625
572,cooking,20.9698125
572,cooking,16.77585
572,freezing,15.9547349
572,heating,0
572,heating,24.88725
572,heating,0
572,laundry,41.939625
572,television,38.02526
572,television,26.84136
572,television,26.84136
572,computer,38.02526
572,computer,16.104816
572,lighting,4.920916
572,waterheating,214.578
572,ac,46.4562
572,ac,4.03265625
572,ac,4.269871324
572,ac,5.7609375
572,vehicle,662.265
577,cooking,199.017
577,cooking,19.01263
577,cooking,0
577,cooking,20.9698125
577,freezing,23.96752027
577,heating,4364.081633
577,laundry,40.04
577,computer,15.210104
577,lighting,20.13102
577,waterheating,214.578
577,ac,4.320703125
577,ac,7.201171875
577,ac,2.88046875
577,vehicle,662.265
581,cooking,362.7030225
581,cooking,0
581,cooking,0
581,cooking,0
581,freezing,0
581,freezing,31.90946979
581,heating,0
581,heating,0
581,heating,0
581,laundry,2.0384
581,television,60.39306
581,television,60.39306
581,computer,15.210104
581,lighting,4.47356
581,ac,2.74220625
581,ac,3.9174375
581,vehicle,0
584,cooking,154.791
584,cooking,0
584,cooking,0
584,freezing,0
584,heating,382.6530612
584,laundry,0
584,computer,0
584,lighting,4.920916
584,waterheating,357.63
584,ac,0
584,vehicle,0
585,cooking,464.373
585,cooking,20.9698125
585,cooking,11.1839
585,cooking,50.32755
585,freezing,29.71772507
585,freezing,29.71772507
585,heating,0
585,heating,0
585,heating,0
585,laundry,26.84136
585,television,100.6551
585,computer,23.262512
585,computer,28.630784
585,computer,3.578848
585,lighting,44.288244
585,lighting,8.8576488
585,waterheating,279.5429444
585,ac,7.107556641
585,ac,7.107556641
585,ac,0
585,vehicle,2980.1925
587,cooking,29.956875
587,cooking,568.62
587,cooking,23.9655
587,cooking,19.97125
587,freezing,29.71772507
587,heating,2386.005831
587,laundry,11.98275
587,television,28.7586
587,computer,2.55632
587,computer,1.198275
587,computer,3.83448
587,computer,1.198275
587,lighting,14.3793
587,lighting,3.51494
587,waterheating,171.1487415
587,waterheating,285.2479024
587,ac,57.609375
587,ac,0
587,vehicle,1214.1525
589,cooking,141.5232
589,freezing,11.88709003
589,heating,1317.725948
589,laundry,6.337543333
589,computer,38.02526
589,lighting,68.445468
589,lighting,2.23678
589,waterheating,218.4406615
589,ac,15.55453125
589,ac,25.92421875
589,vehicle,0
595,cooking,94.77
595,cooking,3.83448
595,cooking,4.526816667
595,freezing,12.76378792
595,heating,1967.930029
595,laundry,5.084444444
595,computer,3.83448
595,computer,6.3908
595,lighting,3.51494
595,waterheating,127.5042537
595,ac,3.024492188
595,ac,2.560416667
595,vehicle,0
600,cooking,398.034
600,cooking,8.62758
600,cooking,16.29654
600,cooking,28.7586
600,freezing,37.02354082
600,heating,1460.466472
600,laundry,6.3908
600,television,51.76548
600,lighting,21.08964
600,lighting,16.871712
600,vehicle,0
608,cooking,170.586
608,cooking,5.43218
608,cooking,11.50344
608,cooking,11.50344
608,freezing,15.9547349
608,heating,0
608,heating,0
608,heating,0
608,laundry,6.3908
608,television,81.4827
608,computer,19.939296
608,lighting,21.08964
608,lighting,9.5862
608,waterheating,153.0051044
608,waterheating,153.0051044
608,ac,11.20182292
608,vehicle,0
613,cooking,331.695
613,cooking,1.789424
613,cooking,2.23678
613,freezing,37.02354082
613,heating,1254.673469
613,laundry,3.131492
613,television,33.5517
613,television,13.42068
613,lighting,2.23678
613,waterheating,357.63
613,ac,10.08164063
613,ac,10.08164063
613,vehicle,0
615,cooking,72.5406045
615,cooking,30.19653
615,cooking,20.13102
615,freezing,22.33662886
615,heating,0
615,heating,0
615,heating,0
615,laundry,1.3979875
615,television,174.46884
615,television,40.26204
615,waterheating,238.0079402
615,ac,14.39658281
615,vehicle,0
623,cooking,362.7030225
623,cooking,0.8387925
623,cooking,2.535017333
623,freezing,12.76378792
623,heating,0
623,heating,0
623,heating,0
623,laundry,2.135466667
623,television,60.39306
623,computer,3.578848
623,lighting,3.0420208
623,waterheating,195.71825
623,ac,3.9174375
623,ac,3.87135
623,ac,2.560416667
623,vehicle,662.265
629,cooking,331.695
629,cooking,25.163775
629,cooking,50.32755
629,freezing,17.83063504
629,freezing,0
629,heating,1093.294461
629,laundry,6.794666667
629,lighting,6.71034
629,waterheating,218.4406615
629,vehicle,0
638,cooking,132.678
638,cooking,14.2594725
638,cooking,3.802526
638,cooking,1.188289375
638,freezing,12.76378792
638,freezing,12.76378792
638,heating,1518.367347
638,laundry,6.337543333
638,television,26.84136
638,television,38.02526
638,computer,22.144122
638,computer,5.368272
638,computer,0.671034
638,lighting,4.920916
638,waterheating,239.608238
638,ac,2.437516667
638,ac,2.437516667
638,ac,2.437516667
638,vehicle,662.265
641,cooking,331.695
641,freezing,0
641,heating,929.3877551
641,laundry,1.304788333
641,television,33.5517
641,television,20.13102
641,lighting,8.8576488
641,waterheating,83.87925
641,ac,6.169964063
641,vehicle,0
642,cooking,176.904
642,cooking,3.802526
642,cooking,41.939625
642,cooking,0
642,freezing,37.02354082
642,heating,0
642,heating,0
642,heating,0
642,laundry,0.41939625
642,laundry,4.175322667
642,television,13.42068
642,television,13.42068
642,computer,22.815156
642,computer,14.762748
642,lighting,20.13102
642,lighting,4.47356
642,lighting,0.894712
642,waterheating,268.4136
642,ac,2.88046875
642,ac,2.88046875
642,ac,2.88046875
642,vehicle,5298.12
644,cooking,870.487254
644,cooking,4.175322667
644,cooking,0
644,cooking,0
644,freezing,19.14568188
644,heating,0
644,heating,0
644,heating,0
644,laundry,0
644,lighting,20.13102
644,ac,0
644,vehicle,0
649,cooking,75.491325
649,cooking,132.678
649,cooking,0
649,cooking,27.95975
649,freezing,12.76378792
649,heating,1464.139942
649,laundry,2.982373333
649,television,116.31256
649,computer,3.578848
649,lighting,8.8576488
649,waterheating,335.517
649,ac,3.9174375
649,vehicle,0
655,cooking,2.684136
655,cooking,4.47356
655,cooking,6.71034
655,cooking,221.13
655,freezing,12.76378792
655,heating,0
655,heating,0
655,heating,0
655,laundry,5.338666667
655,computer,5.368272
655,computer,5.368272
655,lighting,8.8576488
655,waterheating,55.9195
655,ac,9.6015625
655,ac,9.02546875
655,ac,4.320703125
655,ac,2.88046875
655,vehicle,1655.6625
660,cooking,331.695
660,cooking,199.017
660,cooking,20.13102
660,cooking,2.684136
660,freezing,11.44363989
660,heating,1254.673469
660,laundry,66.544205
660,television,120.78612
660,computer,22.815156
660,computer,22.144122
660,lighting,24.60458
660,lighting,6.71034
660,lighting,1.342068
660,waterheating,187.2348527
660,ac,0
660,vehicle,0
667,cooking,236.925
667,cooking,0
667,freezing,0
667,heating,650.5714286
667,laundry,0
667,computer,11.50344
667,lighting,2.87586
667,waterheating,357.63
667,vehicle,0
669,cooking,23.7657875
669,cooking,0
669,cooking,13.979875
669,cooking,331.695
669,freezing,12.76378792
669,heating,1792.390671
669,laundry,10.736544
669,television,33.5517
669,lighting,1.9683664
669,ac,5.040820313
669,vehicle,0
681,cooking,2.39655
681,heating,0
681,computer,11.50344
681,lighting,2.87586
681,vehicle,0
682,cooking,66.339
682,cooking,2.982373333
682,cooking,0.894712
682,cooking,0
682,freezing,15.9547349
682,heating,1518.367347
682,laundry,2.684136
682,television,116.31256
682,computer,68.445468
682,lighting,4.5630312
682,waterheating,139.79875
682,vehicle,0
688,cooking,132.678
688,cooking,132.678
688,cooking,132.678
688,cooking,221.13
688,freezing,19.14568188
688,freezing,22.33662886
688,heating,1394.081633
688,laundry,4.47356
688,television,20.13102
688,computer,3.578848
688,lighting,4.47356
688,lighting,7.605052
688,waterheating,55.9195
688,ac,2.707640625
688,ac,2.707640625
688,ac,12.18438281
688,vehicle,0
692,cooking,58.4766
692,cooking,10.06551
692,cooking,0
692,cooking,19.01263
692,freezing,19.97293356
692,heating,1756.96793
692,television,87.23442
692,television,33.5517
692,computer,5.368272
692,lighting,4.47356
692,lighting,1.342068
692,waterheating,218.4406615
692,ac,6.481054688
692,ac,6.481054688
692,ac,6.481054688
692,vehicle,0
696,cooking,284.31
696,cooking,17.974125
696,cooking,24.44481
696,cooking,11.98275
696,freezing,12.76378792
