id,region_codes
7357,4
7361,4
7370,4
7373,4
7378,4
7382,4
7404,4
7417,4
7419,4
7425,4
7434,4
7435,4
7438,4
7440,4
7452,4
7454,4
7459,4
7460,4
7470,4
7482,4
7496,4
7498,4
7503,4
7512,4
7515,4
7527,4
7538,4
7539,4
7541,4
7546,4
7547,4
7549,4
7555,4
7557,4
7589,4
7592,4
7600,4
7601,4
7611,4
7617,4
7619,4
7625,4
7631,4
7644,4
7646,4
7651,4
7672,4
7679,4
7689,4
7690,4
7702,4
7707,4
7709,4
7710,4
7715,4
7730,4
7736,4
7740,4
7743,4
7746,4
7747,4
7751,4
7753,4
7758,4
7761,4
7762,4
7765,4
7774,4
7776,4
7777,4
7789,4
7794,4
7804,4
7806,4
7807,4
7810,4
7814,4
7819,4
7832,4
7842,4
7847,4
7852,4
7865,4
7867,4
7876,4
7880,4
7901,4
7903,4
7905,4
7906,4
7908,4
7916,4
7919,4
7920,4
7929,4
7940,4
7951,4
7962,4
7963,4
7972,4
7980,4
7995,4
8005,4
8012,4
8020,4
8028,4
8030,4
8045,4
8049,4
8053,3
8063,3
8067,3
8074,3
8077,3
8079,3
8080,3
8082,3
8087,3
8092,3
8094,3
8095,3
8100,3
8103,3
8104,3
8105,3
8112,3
8116,3
8118,3
8121,3
8128,3
8130,3
8131,3
8132,3
8135,3
8141,3
8143,3
8145,3
8149,3
8152,3
8153,3
8158,3
8159,3
8161,3
8163,3
8164,3
8171,3
8183,3
8184,3
8187,3
8194,3
8195,3
8199,3
8200,3
8202,3
8203,3
8206,3
8209,3
8210,3
8214,3
8216,3
8217,3
8218,3
8219,3
8221,3
8226,3
8229,3
8234,3
8240,3
8261,3
8269,3
8271,3
8274,3
8277,3
8280,3
8285,3
8286,3
8289,3
8294,3
8295,3
8298,3
8302,3
8303,3
8307,3
8308,3
8312,3
8321,3
8324,3
8328,3
8329,3
8330,3
8331,3
8332,3
8335,3
8343,3
8346,3
8353,3
8354,3
8356,3
8358,3
8359,3
8360,3
8365,3
8366,3
8367,3
8368,3
8373,3
8382,3
8387,3
8400,3
8406,3
8407,3
8408,3
8414,3
8421,3
8429,3
8433,3
8435,3
8438,3
8442,3
8449,3
8457,3
8460,3
8462,3
8463,3
8464,3
8470,3
8475,3
8477,3
8481,3
8485,3
8487,3
8491,3
8496,3
8502,3
8507,3
8508,3
8509,3
8510,3
8518,3
8519,3
8521,3
8528,3
8530,3
8534,3
8535,3
8537,3
8538,3
8540,3
8543,3
8544,3
8550,3
8554,3
8559,3
8560,3
8567,3
8577,5
8580,5
8587,5
8591,5
8593,5
8595,5
8596,5
8602,5
8609,5
8620,5
8652,5
8656,5
8661,5
8663,5
8664,5
8679,5
8686,5
8690,5
8698,5
8705,5
8715,5
8717,5
8729,5
8735,5
8742,5
8748,5
8751,5
8754,5
8760,5
8764,5
8766,5
8773,5
8774,5
8776,5
8783,5
8791,5
8792,5
8799,5
8806,5
8813,5
8820,5
8824,5
8826,5
8836,5
8839,5
8848,5
8850,5
8859,5
8861,5
8865,5
8871,5
8873,5
8874,5
8891,5
8892,5
8894,5
8902,5
8905,5
8906,5
8912,5
8917,5
8922,5
8925,5
8927,5
8932,5
8937,5
8938,5
8950,5
8955,5
8964,5
8965,5
8966,5
8967,5
8976,5
8977,5
8983,5
8988,5
8999,5
9000,5
9002,5
9003,5
9011,5
9023,5
9026,5
9029,5
9038,5
9045,5
9048,5
9052,5
9074,5
9080,5
9081,5
9084,5
9105,5
9106,5
9112,5
9114,5
9118,5
9127,5
9138,5
9141,5
9145,3
