id,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
15314,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15319,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15325,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15330,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15332,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15336,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15341,6,0,0,0,1,0,0,0,0,0,0,1,1,0
15349,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15352,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15356,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15357,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15358,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15362,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15364,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15365,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15371,4,0,0,0,0,0,0,0,1,0,2,2,1,1
15372,8,0,0,0,0,0,0,0,0,0,1,1,1,1
15373,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15375,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15377,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15378,7,0,0,0,0,0,0,0,0,1,0,2,1,0
15379,9,0,0,0,0,0,0,0,0,0,1,0,0,1
15382,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15389,2,0,0,0,0,0,0,1,0,0,2,0,0,1
15392,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15403,7,0,0,0,0,0,0,0,0,1,1,2,1,1
15407,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15415,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15416,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15417,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15419,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15422,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15431,2,0,0,0,0,0,0,1,0,0,1,1,1,1
15432,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15440,7,0,0,0,0,0,0,0,0,1,1,0,0,1
15442,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15443,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15445,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15446,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15447,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15457,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15459,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15460,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15465,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15473,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15475,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15492,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15493,7,0,0,0,0,0,0,0,0,1,2,2,1,1
15498,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15502,6,0,0,0,1,0,0,0,0,0,0,2,1,0
