Unnamed: 0_x,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,prefecture_eng,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_ac_percap,en_computer_percap,en_cooking_percap,en_freezing_percap,en_heating_percap,en_laundry_percap,en_lighting_percap,en_television_percap,en_vehicle_percap,en_waterheating_percap,en_total,en_total_no_vehicle,en_total_percap
869,4408,黑龙江省,黑河市,逊克县,1,43,2,0,4,1,5,5,1,3,2,1,10000,4,10000,7,2500,2,1375,3,33.75,0,-99,-99,-99,0,-99,-99,-99,-99,0,6,60,2500,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Heihe,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,31.874115,197.1162375,14.85886253,2623.906706,0,1.342068,0,0,0,0,7.96852875,49.27905938,3.714715633,655.9766765,0,0.335517,0,0,0,2869.097989,2869.097989,717.2744973
870,4424,黑龙江省,哈尔滨市,双城市,-1,46,2,1,4,2,1,5,2,4,0,1,10000,4,9500,3,2500,3,850,1.7,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,1,0,0,0,0,0,Harbin,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81.02053538,29.71772507,0,0,12.46206,105.92751,0,0,0,0,20.25513384,7.429431268,0,0,3.115515,26.4818775,0,0,229.1278304,229.1278304,57.28195761
871,4428,黑龙江省,哈尔滨市,延寿县,1,41,2,0,4,1,-99,-99,3,5,1,3,30000,3,11300,7,10000,2,-99,2,135,1,0.857,52.5,1,1,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,1,0,Harbin,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,15.210104,1116.562356,8.915317521,0,3.131492,2.23678,33.5517,0,223.1324439,0,5.070034667,372.187452,2.971772507,0,1.043830667,0.745593333,11.1839,0,74.3774813,1402.740193,1402.740193,467.5800645
872,4429,黑龙江省,齐齐哈尔市,克山县,-1,42,2,0,4,1,2,-99,3,4,0,2,15000,2,39120,7,7500,3,1375,3,32.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,Qiqihaer,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,347.9146125,14.30454986,0,0,24.157224,0,0,0,0,0,173.9573063,7.15227493,0,0,12.078612,0,0,0,386.3763864,386.3763864,193.1881932
873,4436,黑龙江省,黑河市,逊克县,1,68,3,1,4,1,-99,2,4,4,0,3,35000,2,20000,7,17500,6,275,1.715,46.875,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,Heihe,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,94.464643,14.85886253,0,0,13.42068,0,0,0,0,0,47.2323215,7.429431265,0,0,6.71034,0,0,0,122.7441855,122.7441855,61.37209277
874,4438,黑龙江省,齐齐哈尔市,克山县,-1,54,2,0,4,1,-99,-99,4,4,0,1,8000,2,5800,7,4000,2,850,1,45,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,Qiqihaer,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,101.9575375,0,0,17.08373333,2.23678,0,0,0,0,0,50.97876875,0,0,8.541866665,1.11839,0,0,0,121.2780508,121.2780508,60.63902542
875,4439,黑龙江省,齐齐哈尔市,克山县,-1,25,2,0,5,1,-99,3,5,4,0,2,20000,3,11000,7,6666.666667,2,-99,2,37.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,Qiqihaer,0,7,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,167.574225,0,0,0,2.23678,0,0,0,0,0,55.858075,0,0,0,0.745593333,0,0,0,169.811005,169.811005,56.60366833
876,4442,黑龙江省,七台河市,勃利县,1,59,2,0,4,1,5,3,5,5,0,1,3000,4,-99,7,750,3,-99,2.286,32.5,1,0.033,15,1,1,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,1,0,Qitaihe,0,7,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,12.30229,335.1075,0,0,0,12.078612,0,0,55.9195,0,3.0755725,83.776875,0,0,0,3.019653,0,0,13.979875,415.407902,415.407902,103.8519755
877,4443,黑龙江省,七台河市,勃利县,-1,46,2,0,4,4,-99,1,4,4,2,3,50000,2,8000,7,25000,1,-99,1,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,0,5.5,60,1750,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Qitaihe,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.749646,0,12.76378792,1014.64898,0,2.9525496,0,0,0,0,6.374823,0,6.38189396,507.32449,0,1.4762748,0,0,0,1043.114964,1043.114964,521.5574818
878,4445,黑龙江省,哈尔滨市,双城市,1,72,2,0,4,1,-99,2,4,4,2,3,50000,4,20000,7,12500,4,1416.667,1.025,26.25,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,1,0,Harbin,0,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,98.41832,125.750625,0,0,0,59.498348,0,0,0,0,24.60458,31.43765625,0,0,0,14.874587,0,0,0,283.667293,283.667293,70.91682325
879,4447,黑龙江省,黑河市,逊克县,1,47,3,0,4,1,-99,-99,2,4,1,3,40000,6,20000,7,6666.666667,3,925,1.619,35,1,0.429,22.5,-99,1,-99,-99,-99,-99,2,-99,-99,-99,1,2.75,7,6,5000,1,0.5,2,9,0,1,0,1,0,0,0,0,0,1,Heihe,0,7,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,22.144122,274.0271625,9.862927027,0,4.7531575,8.8576488,67.1034,655.695,126.0234585,0,3.690687,45.67119375,1.643821171,0,0.792192917,1.4762748,11.1839,109.2825,21.00390975,1168.466876,512.7718763,194.7444794
880,4450,黑龙江省,哈尔滨市,道外区,1,59,1,0,4,1,-99,2,3,2,0,0,500,2,20000,7,250,1,-99,3,90,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,1,0,Harbin,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,402.129,0,0,0,18.788952,0,0,0,0,0,201.0645,0,0,0,9.394476,0,0,0,420.917952,420.917952,210.458976
881,4451,黑龙江省,齐齐哈尔市,克山县,-1,69,2,1,4,1,-99,2,4,4,0,2,22000,1,20000,0,22000,1,850,3,37.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,1,1,Qiqihaer,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,4452,黑龙江省,齐齐哈尔市,克山县,1,27,2,0,5,1,-99,2,4,4,1,2,21000,3,24000,7,7000,4,1500,1.357,24.375,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,1,2.25,11,6.5,10000,1,1.25,0,11,0,1,1,1,0,0,0,0,1,0,Qiqihaer,0,7,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,222.35486,15.9547349,0,1.789424,8.94712,0,2023.5875,0,0,0,74.11828667,5.318244967,0,0.596474667,2.982373333,0,674.5291667,0,2272.633639,249.0461389,757.5445463
883,4462,黑龙江省,齐齐哈尔市,克山县,1,39,2,0,4,6,-99,2,4,4,0,3,30000,1,32500,2,30000,2,-99,3,45,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,1,2.25,9,6.5,10000,1,2.75,0,9,0,0,0,0,0,0,0,0,0,1,Qiqihaer,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,67.02969,14.85886253,0,1.220266667,1.150344,0,3642.4575,0,0,0,67.02969,14.85886253,0,1.220266667,1.150344,0,3642.4575,0,3726.716663,84.2591632,3726.716663
884,4470,黑龙江省,齐齐哈尔市,克山县,-1,45,2,0,4,1,-99,-99,2,4,1,3,40000,3,13200,7,13333.33333,1,-99,3,52.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,Qiqihaer,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,234.603915,9.255885205,0,1.9571825,4.026204,67.1034,0,0,0,0,78.201305,3.085295068,0,0.652394167,1.342068,22.3678,0,0,316.9465867,316.9465867,105.6488622
885,4471,黑龙江省,齐齐哈尔市,克山县,-1,45,2,0,4,1,5,2,4,4,0,1,10000,2,5600,7,5000,2,-99,1.928,45,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,1,0,Qiqihaer,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,234.603915,0,0,0,22.3678,0,0,0,0,0,117.3019575,0,0,0,11.1839,0,0,0,256.971715,256.971715,128.4858575
886,4473,黑龙江省,哈尔滨市,道外区,1,37,1,1,5,1,2,-99,2,4,2,4,60000,5,80000,7,12000,7,1066.667,1.857,26.25,1,1,360,-99,1,-99,-99,-99,-99,0,6,40,1900,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Harbin,0,7,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,419.461315,12.76378792,1593.236152,15.84385833,19.683664,555.83983,0,187.2348527,0,0,83.892263,2.552757584,318.6472304,3.168771666,3.9367328,111.167966,0,37.44697054,2804.06346,2804.06346,560.812692
887,4475,黑龙江省,齐齐哈尔市,克山县,-1,46,2,0,4,1,2,5,4,2,0,1,10000,3,17800,7,3333.333333,3,-99,1.367,32.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,Qiqihaer,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,234.603915,12.69757344,0,0,1.342068,0,0,0,0,0,78.201305,4.23252448,0,0,0.447356,0,0,0,248.6435564,248.6435564,82.88118548
888,4477,黑龙江省,齐齐哈尔市,克山县,-1,54,2,1,4,5,-99,2,4,4,2,2,18000,1,30000,7,18000,2,600,1,30,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,Qiqihaer,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.77585,0,0,0,20.13102,26.84136,0,0,0,0,16.77585,0,0,0,20.13102,26.84136,0,0,63.74823,63.74823,63.74823
889,4481,黑龙江省,七台河市,勃利县,1,62,1,0,4,1,-99,2,4,4,0,1,8000,2,8500,7,4000,2,-99,2.5,37.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,1,Qitaihe,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,111.71615,19.57645479,0,1.868533333,1.342068,0,0,0,0,0,55.858075,9.788227395,0,0.934266667,0.671034,0,0,0,134.5032061,134.5032061,67.25160306
890,4483,黑龙江省,齐齐哈尔市,克山县,1,18,1,1,5,1,-99,-99,4,4,0,1,8000,3,20400,7,2666.666667,2,850,0.516,198.75,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,1,2.75,9,6.5,4500,1,0.75,0,9,0,1,1,0,0,0,0,0,0,1,Qiqihaer,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,41.6403715,0,0,7.118222222,20.13102,0,993.3975,0,0,0,13.88012383,0,0,2.372740741,6.71034,0,331.1325,0,1062.287114,68.88961372,354.0957046
891,4484,黑龙江省,哈尔滨市,道外区,1,40,2,1,5,2,-99,-99,2,2,2,7,-99,3,40000,7,3333333,4,766.667,1.464,41.25,0,-99,-99,-99,0,-99,-99,-99,-99,0,5.5,60,3000,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Harbin,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,22.144122,386.6577108,9.862927027,1127.387755,22.18140167,12.525968,40.26204,0,0,0,7.381374,128.8859036,3.287642342,375.7959183,7.393800557,4.175322667,13.42068,0,0,1621.021925,1621.021925,540.3406415
